날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,1978,2020,1915,1915,52933,-3.185035389282103
2024-06-04,1915,1955,1850,1867,51653,-2.506527415143603
2024-06-05,1857,1972,1850,1893,44211,1.3926084627745046
2024-06-07,1932,1932,1781,1826,36851,-3.5393555203380873
2024-06-10,1845,1887,1828,1884,29041,3.1763417305585984
2024-06-11,1884,1915,1877,1900,19890,0.8492569002123143
2024-06-12,1901,1937,1880,1890,12888,-0.5263157894736842
2024-06-13,1910,1914,1880,1889,16086,-0.052910052910052914
2024-06-14,1889,1946,1857,1899,18633,0.5293806246691372
2024-06-17,1899,1909,1845,1845,50401,-2.843601895734597
2024-06-18,1845,2025,1830,1852,655950,0.3794037940379404
2024-06-19,1852,1883,1832,1839,59987,-0.7019438444924406
2024-06-20,1839,1860,1828,1833,23985,-0.3262642740619902
2024-06-21,1833,1860,1816,1816,35753,-0.9274413529732678
2024-06-24,1821,1834,1781,1785,32442,-1.7070484581497798
2024-06-25,1785,1910,1780,1813,25433,1.5686274509803921
2024-06-26,1813,1835,1797,1797,9385,-0.882515168229454
2024-06-27,1815,1895,1773,1841,134630,2.448525319977741
2024-06-28,1866,1866,1818,1839,22219,-0.10863661053775121
2024-07-01,1839,1860,1797,1800,35283,-2.1207177814029365
2024-07-02,1780,1828,1770,1770,39085,-1.6666666666666667
2024-07-03,1815,1815,1765,1767,23642,-0.1694915254237288
2024-07-04,1766,1776,1751,1751,16038,-0.9054895302773062
2024-07-05,1752,1770,1750,1750,14831,-0.05711022272986865
2024-07-08,1745,1785,1745,1784,15604,1.9428571428571426
2024-07-09,1795,1795,1756,1770,16612,-0.7847533632286996
2024-07-10,1770,1789,1757,1788,19488,1.0169491525423728
2024-07-11,1789,1789,1767,1770,13836,-1.006711409395973
2024-07-12,1770,1775,1748,1769,14439,-0.05649717514124294
2024-07-15,1764,1769,1741,1763,20123,-0.3391746749576032
2024-07-16,1763,1780,1746,1772,24143,0.5104934770277936
2024-07-17,1772,1784,1759,1771,30081,-0.0564334085778781
