날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,2422,2422,2224,2292,698706,-6.677524429967427
2024-06-04,2292,2320,2218,2234,399189,-2.530541012216405
2024-06-05,2234,2234,2166,2196,255195,-1.7009847806624887
2024-06-07,2176,2226,2168,2176,242318,-0.9107468123861567
2024-06-10,2194,2334,2162,2216,354041,1.8382352941176472
2024-06-11,2238,2242,2118,2124,223020,-4.1516245487364625
2024-06-12,2124,2162,2068,2068,211935,-2.6365348399246704
2024-06-13,2068,2108,2038,2064,174325,-0.19342359767891684
2024-06-14,2060,2060,2012,2030,126928,-1.6472868217054266
2024-06-17,2030,2204,2014,2076,232010,2.2660098522167487
2024-06-18,2078,2580,2054,2428,5643926,16.955684007707127
2024-06-19,2400,2596,2348,2540,1979910,4.612850082372323
2024-06-20,2464,2478,2394,2396,390510,-5.669291338582677
2024-06-21,2396,2396,2278,2340,291276,-2.337228714524207
2024-06-24,2306,2306,2194,2252,208609,-3.7606837606837606
2024-06-25,2248,2258,2200,2230,144831,-0.9769094138543518
2024-06-26,2208,2270,2180,2220,120027,-0.4484304932735426
2024-06-27,2222,2540,2084,2272,1720624,2.3423423423423424
2024-06-28,2272,2454,2260,2360,587780,3.873239436619718
2024-07-01,2340,2356,2284,2304,193535,-2.3728813559322033
2024-07-02,2290,2312,2234,2266,99320,-1.6493055555555556
2024-07-03,2266,2266,2114,2218,129603,-2.118270079435128
2024-07-04,2218,2292,2150,2150,199928,-3.065825067628494
2024-07-05,2082,2200,2082,2154,128382,0.18604651162790697
2024-07-08,2154,2188,2128,2168,69587,0.6499535747446611
2024-07-09,2168,2206,2166,2178,78417,0.46125461254612543
2024-07-10,2184,2184,2084,2110,128111,-3.1221303948576673
2024-07-11,2110,2126,2072,2098,109619,-0.5687203791469194
2024-07-12,2060,2100,2042,2046,69786,-2.478551000953289
2024-07-15,2056,2056,1998,2042,94886,-0.19550342130987292
2024-07-16,2022,2060,2022,2060,39923,0.881488736532811
2024-07-17,2024,2128,2022,2124,94941,3.1067961165048543
2024-07-18,2102,2122,2008,2036,85597,-4.143126177024483
2024-07-19,2036,2062,2014,2042,57347,0.29469548133595286
2024-07-22,2038,2088,1996,1996,80728,-2.2526934378060726
2024-07-23,1996,2040,1986,2038,94549,2.1042084168336674
2024-07-24,2018,2344,2018,2204,1155666,8.145240431795878
2024-07-25,2144,2178,2042,2104,261233,-4.537205081669692
2024-07-26,2080,2086,2030,2034,108383,-3.326996197718631
2024-07-29,2034,2178,2020,2120,185912,4.2281219272369714
2024-07-30,2166,2166,2034,2036,92635,-3.9622641509433962
2024-07-31,2022,2066,2000,2016,102844,-0.9823182711198428
2024-08-01,2016,2060,2000,2018,113110,0.0992063492063492
2024-08-02,2016,2016,1896,1902,245449,-5.7482656095143705
2024-08-05,1892,1892,1580,1668,299557,-12.302839116719243
2024-08-06,1502,1792,1502,1658,308642,-0.5995203836930456
2024-08-07,1656,1656,1560,1562,489835,-5.790108564535585
2024-08-08,1558,1580,1500,1502,186365,-3.841229193341869
2024-08-09,1502,1728,1498,1612,710607,7.323568575233022
2024-08-12,1612,1612,1552,1574,128822,-2.357320099255583
2024-08-13,1566,1588,1510,1512,179477,-3.9390088945362134
2024-08-14,1512,1542,1388,1394,907650,-7.804232804232804
2024-08-16,0,0,0,1394,0,0.0
2024-08-19,976,976,976,976,257241,-29.98565279770445
2024-08-20,732,874,704,754,7368427,-22.74590163934426
2024-08-21,768,850,734,780,1651289,3.4482758620689653
2024-08-22,784,984,784,822,4098197,5.384615384615385
2024-08-23,840,842,748,790,1088183,-3.8929440389294405
2024-08-26,798,838,774,776,270877,-1.7721518987341773
2024-08-27,778,846,748,832,428317,7.216494845360824
2024-08-28,836,836,772,776,253395,-6.730769230769231
2024-08-29,776,786,752,768,151308,-1.0309278350515463
2024-08-30,768,786,762,780,110396,1.5625
2024-09-02,798,814,764,802,144570,2.8205128205128207
2024-09-03,802,832,784,802,117310,0.0
2024-09-04,800,818,780,788,103885,-1.7456359102244388
2024-09-05,788,814,774,806,164435,2.284263959390863
2024-09-06,996,1046,968,1046,673807,29.776674937965257
2024-09-09,1358,1358,1264,1358,2343853,29.82791586998088
2024-09-10,1420,1462,1152,1192,14971082,-12.223858615611192
2024-09-11,1202,1236,1066,1096,2054838,-8.053691275167784
2024-09-12,1080,1198,1040,1092,1486343,-0.36496350364963503
2024-09-13,1102,1116,1052,1056,453988,-3.296703296703297
2024-09-19,1056,1074,994,1018,369582,-3.5984848484848486
2024-09-20,1026,1066,974,1000,364909,-1.768172888015717
2024-09-23,1000,1016,928,952,271725,-4.8
2024-09-24,950,1236,950,1188,5738440,24.789915966386555
2024-09-25,1124,1440,1122,1270,3502936,6.902356902356903
2024-09-26,1226,1278,1110,1128,945019,-11.181102362204724
2024-09-27,1140,1140,1060,1108,247245,-1.773049645390071
2024-09-30,1108,1170,1050,1122,360366,1.263537906137184
2024-10-02,1166,1340,1116,1254,3598881,11.76470588235294
2024-10-04,1254,1254,1138,1182,366121,-5.741626794258373
2024-10-07,1188,1306,1188,1230,430753,4.060913705583756
2024-10-08,1234,1314,1218,1268,381308,3.089430894308943
2024-10-10,1260,1280,1054,1076,933696,-15.141955835962145
2024-10-11,1120,1120,930,1004,966354,-6.691449814126393
2024-10-14,1020,1036,918,936,607814,-6.772908366533864
2024-10-15,958,1004,932,936,302637,0.0
2024-10-16,938,980,926,950,175295,1.4957264957264957
2024-10-17,950,974,930,942,73695,-0.8421052631578947
2024-10-18,970,970,876,904,179892,-4.033970276008493
2024-10-21,908,956,844,862,383333,-4.646017699115045
2024-10-22,862,898,846,866,118087,0.46403712296983757
2024-10-23,866,898,832,832,196713,-3.9260969976905313
2024-10-24,832,848,810,830,89295,-0.2403846153846154
2024-10-25,840,848,812,818,134473,-1.4457831325301205
2024-10-28,818,1030,814,854,2421955,4.400977995110025
2024-10-29,878,906,840,884,217587,3.51288056206089
2024-10-30,884,908,854,866,150359,-2.0361990950226243
2024-10-31,856,876,830,866,116189,0.0
2024-11-01,866,878,846,864,95168,-0.23094688221709006
2024-11-04,864,878,852,864,75658,0.0
2024-11-05,898,898,862,874,67261,1.1574074074074074
2024-11-06,884,1050,840,850,1025407,-2.745995423340961
2024-11-07,880,880,820,834,120584,-1.8823529411764703
2024-11-08,826,1060,826,868,3314937,4.07673860911271
2024-11-11,886,912,848,882,381812,1.6129032258064515
2024-11-12,930,930,856,860,213180,-2.494331065759637
2024-11-13,886,886,836,842,126179,-2.0930232558139537
2024-11-14,850,974,834,854,700698,1.4251781472684086
2024-11-15,854,890,834,864,127674,1.1709601873536302
2024-11-18,880,1000,866,926,490471,7.175925925925926
2024-11-19,928,996,904,906,193259,-2.159827213822894
2024-11-20,918,940,860,916,87458,1.1037527593818985
2024-11-21,916,946,890,926,115507,1.0917030567685588
2024-11-22,930,948,888,916,131316,-1.079913606911447
2024-11-25,916,968,906,954,142807,4.148471615720524
2024-11-26,980,1156,972,1052,1123693,10.272536687631026
2024-11-27,1134,1134,1022,1034,396061,-1.7110266159695817
2024-11-28,1036,1068,1014,1030,95236,-0.3868471953578337
2024-11-29,1030,1030,970,1026,90882,-0.3883495145631068
2024-12-02,1026,1100,1000,1052,155521,2.53411306042885
2024-12-03,1056,1348,1056,1260,1063093,19.771863117870723
2024-12-04,1172,1246,1092,1222,487027,-3.015873015873016
2024-12-05,1222,1292,1198,1200,170438,-1.800327332242226
2024-12-06,1236,1236,1142,1198,176970,-0.16666666666666669
2024-12-09,1190,1232,1080,1134,193903,-5.342237061769616
2024-12-10,1134,1204,1134,1192,159077,5.114638447971781
2024-12-11,1192,1270,1160,1254,253531,5.201342281879195
2024-12-12,1256,1400,1256,1380,419767,10.047846889952153
2024-12-13,1500,1510,1382,1470,467766,6.521739130434782
2024-12-16,1518,1554,1460,1500,393403,2.0408163265306123
2024-12-17,1420,1556,1412,1510,367921,0.6666666666666667
2024-12-18,1576,1780,1512,1580,1563285,4.635761589403973
2024-12-19,1642,1642,1512,1614,217551,2.151898734177215
