날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,1477,1500,1455,1457,1256538,-1.2872628726287263
2024-06-04,1447,1457,1411,1412,1629801,-3.088538091969801
2024-06-05,1419,1430,1390,1392,1204287,-1.41643059490085
2024-06-07,1392,1410,1387,1389,722996,-0.21551724137931033
2024-06-10,1386,1391,1363,1382,1149559,-0.5039596832253419
2024-06-11,1385,1416,1369,1383,842806,0.0723589001447178
2024-06-12,1383,1395,1380,1384,661411,0.07230657989877079
2024-06-13,1385,1412,1385,1405,1085715,1.5173410404624277
2024-06-14,1400,1424,1390,1419,1027461,0.99644128113879
2024-06-17,1421,1422,1389,1393,732460,-1.8322762508809023
2024-06-18,1393,1530,1389,1404,6929285,0.7896625987078248
2024-06-19,1404,1418,1400,1414,832873,0.7122507122507122
2024-06-20,1417,1461,1410,1449,2262778,2.4752475247524752
2024-06-21,1440,1441,1405,1405,1146821,-3.036576949620428
2024-06-24,1406,1412,1362,1370,976776,-2.491103202846975
2024-06-25,1372,1382,1366,1370,492681,0.0
2024-06-26,1371,1385,1340,1359,929871,-0.8029197080291971
2024-06-27,1370,1373,1345,1346,607107,-0.9565857247976454
2024-06-28,1347,1361,1332,1333,471703,-0.9658246656760773
2024-07-01,1330,1353,1328,1331,471949,-0.15003750937734434
2024-07-02,1338,1351,1315,1321,539819,-0.7513148009015778
2024-07-03,1327,1364,1327,1338,825521,1.2869038607115821
2024-07-04,1352,1360,1335,1335,350566,-0.2242152466367713
2024-07-05,1336,1355,1318,1320,621677,-1.1235955056179776
2024-07-08,1333,1333,1312,1317,539673,-0.22727272727272727
2024-07-09,1317,1332,1316,1319,447477,0.15186028853454822
2024-07-10,1320,1324,1305,1305,627271,-1.061410159211524
2024-07-11,1310,1315,1302,1303,664515,-0.15325670498084293
2024-07-12,1302,1307,1294,1298,501803,-0.38372985418265537
2024-07-15,1304,1306,1289,1292,591994,-0.46224961479198773
2024-07-16,1292,1335,1292,1300,854311,0.6191950464396285
2024-07-17,1303,1313,1291,1294,575322,-0.46153846153846156
2024-07-18,1287,1287,1249,1260,885979,-2.627511591962906
2024-07-19,1258,1275,1248,1250,561565,-0.7936507936507936
2024-07-22,1244,1251,1196,1202,909744,-3.84
2024-07-23,1203,1222,1199,1201,699728,-0.08319467554076539
2024-07-24,1186,1207,1186,1200,389194,-0.08326394671107411
2024-07-25,1180,1189,1143,1148,1387391,-4.333333333333334
2024-07-26,1143,1172,1136,1155,801127,0.6097560975609756
2024-07-29,1156,1185,1156,1171,541509,1.3852813852813852
2024-07-30,1171,1190,1141,1141,733829,-2.5619128949615715
2024-07-31,1141,1170,1120,1163,868346,1.9281332164767746
2024-08-01,1168,1213,1158,1177,1238693,1.2037833190025795
2024-08-02,1160,1170,1110,1116,1186841,-5.182667799490229
2024-08-05,1077,1080,902,940,2935807,-15.770609318996415
2024-08-06,915,1026,915,1008,3048466,7.234042553191489
2024-08-07,992,1061,992,1038,1128045,2.976190476190476
2024-08-08,1036,1038,1002,1014,588609,-2.312138728323699
2024-08-09,1021,1064,1021,1055,631537,4.043392504930966
2024-08-12,1087,1121,1067,1100,728384,4.265402843601896
2024-08-13,1090,1122,1086,1120,624922,1.8181818181818181
2024-08-14,1121,1156,1120,1143,901122,2.0535714285714284
2024-08-16,1161,1166,1148,1161,617868,1.574803149606299
2024-08-19,1161,1169,1138,1141,589989,-1.7226528854435832
2024-08-20,1141,1172,1141,1166,878453,2.1910604732690624
2024-08-21,1166,1197,1128,1142,1215467,-2.0583190394511153
2024-08-22,1142,1160,1125,1132,525132,-0.8756567425569177
2024-08-23,1120,1133,1112,1123,387483,-0.7950530035335688
2024-08-26,1120,1158,1086,1101,485187,-1.9590382902938557
2024-08-27,1098,1113,1080,1094,433372,-0.6357856494096277
2024-08-28,1100,1110,1067,1088,370257,-0.5484460694698354
2024-08-29,1073,1086,1047,1064,598434,-2.2058823529411766
2024-08-30,1063,1080,1057,1075,326935,1.0338345864661653
2024-09-02,1080,1081,1053,1071,268018,-0.37209302325581395
2024-09-03,1062,1080,1055,1060,504752,-1.0270774976657329
2024-09-04,1021,1029,999,999,1211545,-5.754716981132075
2024-09-05,1004,1038,988,998,1109918,-0.10010010010010009
2024-09-06,1001,1048,986,998,2177010,0.0
2024-09-09,1040,1040,963,996,695951,-0.2004008016032064
2024-09-10,1000,1015,972,972,634648,-2.4096385542168677
2024-09-11,965,993,965,971,428117,-0.102880658436214
2024-09-12,978,1050,978,1015,954696,4.531410916580844
2024-09-13,1012,1012,990,993,592038,-2.167487684729064
2024-09-19,998,1011,980,981,606713,-1.2084592145015105
2024-09-20,998,1012,973,975,900916,-0.6116207951070336
2024-09-23,974,986,956,962,1155756,-1.3333333333333335
2024-09-24,964,971,949,970,801010,0.8316008316008316
2024-09-25,983,994,971,974,768102,0.4123711340206186
2024-09-26,983,1029,982,1014,1368978,4.1067761806981515
2024-09-27,1016,1030,1007,1017,707135,0.2958579881656805
2024-09-30,1018,1026,995,997,818176,-1.966568338249754
2024-10-02,994,994,952,968,1016231,-2.908726178535607
2024-10-04,954,978,954,964,546427,-0.4132231404958678
2024-10-07,973,989,959,987,485942,2.3858921161825726
2024-10-08,978,990,962,962,675427,-2.532928064842958
2024-10-10,962,979,948,955,822820,-0.7276507276507277
2024-10-11,955,966,940,945,634890,-1.0471204188481675
2024-10-14,942,962,942,954,534107,0.9523809523809524
2024-10-15,958,962,940,949,653831,-0.5241090146750524
2024-10-16,945,946,924,928,876967,-2.212855637513172
2024-10-17,928,940,923,923,465579,-0.5387931034482759
2024-10-18,924,928,898,898,832010,-2.7085590465872156
2024-10-21,898,924,894,900,604657,0.22271714922048996
2024-10-22,900,914,881,885,685516,-1.6666666666666667
2024-10-23,877,892,871,884,703592,-0.11299435028248588
2024-10-24,885,888,862,863,667816,-2.3755656108597285
2024-10-25,865,869,835,850,1042025,-1.5063731170336037
2024-10-28,850,890,850,887,726227,4.352941176470588
2024-10-29,887,894,871,884,425458,-0.3382187147688839
2024-10-30,889,904,884,890,471052,0.6787330316742082
2024-10-31,881,905,875,905,528829,1.6853932584269662
2024-11-01,904,904,880,882,491160,-2.541436464088398
2024-11-04,878,898,876,895,437340,1.473922902494331
2024-11-05,895,916,890,910,428692,1.675977653631285
2024-11-06,917,917,889,896,537211,-1.5384615384615385
2024-11-07,902,992,901,940,4031480,4.910714285714286
2024-11-08,956,957,931,931,864461,-0.9574468085106382
2024-11-11,934,935,898,900,911679,-3.329752953813104
2024-11-12,885,897,840,842,1398474,-6.444444444444445
2024-11-13,832,847,812,812,1068063,-3.5629453681710213
2024-11-14,802,824,783,790,1110154,-2.70935960591133
2024-11-15,776,816,769,801,908321,1.3924050632911391
2024-11-18,806,898,799,820,4233222,2.3720349563046192
2024-11-19,820,874,812,850,1499449,3.6585365853658534
2024-11-20,842,853,831,840,490291,-1.1764705882352942
2024-11-21,832,850,826,827,369588,-1.5476190476190477
2024-11-22,824,841,814,814,487187,-1.5719467956469164
2024-11-25,817,836,817,828,530947,1.71990171990172
2024-11-26,830,840,823,838,403204,1.2077294685990339
2024-11-27,837,838,817,817,675948,-2.5059665871121717
2024-11-28,817,822,807,807,449066,-1.2239902080783354
2024-11-29,808,809,775,783,841937,-2.973977695167286
2024-12-02,788,807,774,774,542619,-1.1494252873563218
2024-12-03,768,786,768,779,531882,0.6459948320413437
2024-12-04,766,781,740,748,1082955,-3.979460847240052
2024-12-05,751,762,738,744,585375,-0.53475935828877
2024-12-06,741,750,714,722,1452167,-2.956989247311828
2024-12-09,705,719,671,671,1678905,-7.063711911357341
2024-12-10,674,731,674,714,820407,6.4083457526080485
2024-12-11,711,779,711,779,990394,9.103641456582633
2024-12-12,779,817,776,792,1022527,1.6688061617458279
2024-12-13,780,805,780,798,670814,0.7575757575757576
2024-12-16,798,833,798,812,666115,1.7543859649122806
2024-12-17,817,845,807,842,1190912,3.6945812807881775
2024-12-18,842,845,803,844,798714,0.23752969121140144
2024-12-19,817,839,816,823,404927,-2.4881516587677726
2024-12-20,823,823,783,792,534303,-3.766707168894289
2024-12-23,793,828,793,813,584748,2.6515151515151514
2024-12-24,813,822,803,803,388585,-1.2300123001230012
2024-12-26,800,812,786,789,345844,-1.7434620174346203
2024-12-27,778,799,769,777,470609,-1.520912547528517
2024-12-30,777,786,768,780,315533,0.3861003861003861
2025-01-02,774,797,774,795,365145,1.9230769230769231
2025-01-03,794,824,792,817,475834,2.767295597484277
2025-01-06,824,876,823,874,1587813,6.976744186046512
2025-01-07,885,888,854,866,772694,-0.9153318077803204
2025-01-08,870,906,860,882,922405,1.8475750577367205
2025-01-09,882,895,865,877,576986,-0.5668934240362812
2025-01-10,874,880,862,863,388940,-1.596351197263398
2025-01-13,863,873,844,849,318104,-1.6222479721900347
2025-01-14,849,870,842,856,309993,0.8244994110718492
2025-01-15,857,864,833,836,436561,-2.336448598130841
2025-01-16,843,870,843,863,622788,3.2296650717703352
2025-01-17,855,892,855,871,515790,0.9269988412514484
2025-01-20,875,880,860,869,330175,-0.2296211251435132
2025-01-21,875,882,856,860,364269,-1.0356731875719216
2025-01-22,860,872,854,869,392285,1.0465116279069768
2025-01-23,872,880,846,852,376732,-1.9562715765247412
2025-01-24,850,855,837,840,437675,-1.4084507042253522
2025-01-31,835,840,810,810,489381,-3.571428571428571
2025-02-03,799,800,775,789,569467,-2.5925925925925926
2025-02-04,802,814,790,797,328446,1.0139416983523446
2025-02-05,795,821,778,797,470559,0.0
2025-02-06,790,820,790,820,503289,2.8858218318695106
2025-02-07,820,913,813,869,4349191,5.975609756097561
2025-02-10,901,944,872,919,4714518,5.7537399309551205
2025-02-11,913,927,899,902,1521561,-1.8498367791077257
2025-02-12,899,902,866,868,1027854,-3.7694013303769403
2025-02-13,871,897,861,883,827049,1.7281105990783412
2025-02-14,902,924,891,902,1311503,2.1517553793884483
2025-02-17,902,919,901,912,701553,1.1086474501108647
2025-02-18,912,918,900,901,526042,-1.2061403508771928
2025-02-19,914,937,905,917,1048625,1.7758046614872365
2025-02-20,917,917,896,901,845894,-1.7448200654307526
2025-02-21,905,909,890,896,501219,-0.5549389567147613
2025-02-24,860,894,860,879,473198,-1.8973214285714284
2025-02-25,870,890,861,863,468660,-1.8202502844141069
2025-02-26,865,875,858,861,472035,-0.2317497103128621
2025-02-27,862,872,840,850,576932,-1.2775842044134729
2025-02-28,835,843,817,820,496219,-3.5294117647058822
2025-03-04,814,820,790,803,502173,-2.073170731707317
2025-03-05,790,816,790,807,261869,0.49813200498132004
2025-03-06,817,818,792,793,492971,-1.734820322180917
2025-03-07,793,810,784,791,420167,-0.25220680958385877
2025-03-10,783,802,783,791,428560,0.0
2025-03-11,765,783,760,776,544653,-1.8963337547408345
2025-03-12,780,800,777,788,287826,1.5463917525773196
2025-03-13,793,803,770,770,416299,-2.284263959390863
2025-03-14,771,805,771,794,419407,3.116883116883117
2025-03-17,794,816,793,804,612824,1.2594458438287155
2025-03-18,802,807,792,794,371831,-1.2437810945273633
2025-03-19,799,812,789,801,359477,0.8816120906801008
2025-03-20,801,815,797,809,578632,0.9987515605493134
2025-03-21,809,811,790,800,404670,-1.1124845488257107
2025-03-24,804,806,789,795,291453,-0.625
2025-03-25,800,811,780,782,630531,-1.6352201257861636
2025-03-26,783,795,779,786,337391,0.5115089514066496
2025-03-27,786,786,766,773,493469,-1.653944020356234
2025-03-28,770,773,747,749,710298,-3.1047865459249677
2025-03-31,740,745,714,716,671381,-4.405874499332444
2025-04-01,711,733,711,730,474216,1.9553072625698324
2025-04-02,739,741,712,712,581382,-2.4657534246575343
2025-04-03,700,708,693,701,544094,-1.544943820224719
2025-04-04,695,717,683,705,728164,0.5706134094151213
2025-04-07,675,699,664,664,943867,-5.815602836879433
2025-04-08,670,682,655,663,769303,-0.15060240963855423
2025-04-09,652,665,627,631,1099864,-4.826546003016592
2025-04-10,655,720,654,687,1094124,8.874801901743265
2025-04-11,670,704,670,704,455930,2.4745269286754
2025-04-14,704,722,701,710,352457,0.8522727272727272
2025-04-15,711,730,707,727,489209,2.3943661971830985
2025-04-16,722,729,705,717,655876,-1.3755158184319118
2025-04-17,715,723,710,721,370297,0.5578800557880056
2025-04-18,722,722,709,718,332739,-0.4160887656033287
2025-04-21,723,725,712,719,236348,0.1392757660167131
2025-04-22,722,726,712,726,549064,0.9735744089012517
