날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,5780,5876,5748,5802,167834,0.3806228373702422
2024-06-04,5737,5780,5684,5770,147394,-0.5515339538090314
2024-06-05,5770,5887,5716,5813,191964,0.7452339688041595
2024-06-07,5812,5940,5812,5866,207422,0.9117495269224153
2024-06-10,5801,5908,5748,5834,189135,-0.5455165359699966
2024-06-11,5834,5930,5823,5845,161594,0.1885498800137127
2024-06-12,5855,5909,5834,5888,166922,0.7356715141146278
2024-06-13,5854,6144,5854,6144,782230,4.3478260869565215
2024-06-14,6091,6101,5952,5952,257262,-3.125
2024-06-17,5952,5952,5823,5888,208685,-1.0752688172043012
2024-06-18,5887,5940,5726,5748,283421,-2.377717391304348
2024-06-19,5801,5801,5716,5716,167584,-0.5567153792623522
2024-06-20,5684,5748,5673,5684,164342,-0.5598320503848845
2024-06-21,5673,5727,5598,5620,252090,-1.1259676284306825
2024-06-24,5619,5673,5534,5534,213140,-1.5302491103202847
2024-06-25,5587,5619,5512,5545,199143,0.19877123238164077
2024-06-26,5512,5608,5491,5491,172634,-0.9738503155996394
2024-06-27,5458,5490,5351,5416,327012,-1.3658714259697688
2024-06-28,5416,5566,5394,5502,200484,1.5878877400295421
2024-07-01,5480,5619,5437,5566,166373,1.1632133769538349
2024-07-02,5512,5587,5427,5438,148737,-2.2996766079770032
2024-07-03,5437,5533,5416,5459,164257,0.3861713865391688
2024-07-04,5469,5694,5459,5684,385621,4.121633998900897
2024-07-05,5694,5737,5619,5673,272187,-0.19352568613652357
2024-07-08,5662,5812,5619,5727,188325,0.9518773135906927
2024-07-09,5780,5908,5769,5834,337227,1.8683429369652522
2024-07-10,5812,5833,5737,5759,164334,-1.2855673637298595
2024-07-11,5759,5759,5619,5652,228582,-1.8579614516409098
2024-07-12,5673,5769,5652,5727,196680,1.3269639065817411
2024-07-15,5726,5854,5662,5780,226258,0.9254408940108259
2024-07-16,5802,6594,5748,5984,3493489,3.5294117647058822
2024-07-17,5973,6690,5973,6412,3824637,7.1524064171122985
2024-07-18,6433,6743,6208,6690,2323608,4.335620711166563
2024-07-19,6925,6925,6390,6487,1486462,-3.0343796711509716
2024-07-22,6487,6744,6230,6616,1437661,1.9885925697548945
2024-07-23,6550,6786,6475,6508,954572,-1.6324062877871828
2024-07-24,6433,6582,6433,6508,492914,0.0
2024-07-25,6443,6604,6368,6401,621596,-1.6441303011677935
2024-07-26,6454,6497,6337,6412,441632,0.17184814872676146
2024-07-29,6422,6668,6358,6551,739531,2.1678103555832813
2024-07-30,6486,6486,6358,6369,497651,-2.7782018012517176
2024-07-31,6423,6551,6380,6423,494168,0.8478568064060292
2024-08-01,6422,6658,6422,6519,437122,1.4946286781877627
2024-08-02,6411,6465,6272,6401,525644,-1.8100935726338394
2024-08-05,6347,6347,5619,5898,1041620,-7.858147164505545
2024-08-06,5898,6155,5802,5920,844233,0.3730077992539844
2024-08-07,5919,6101,5855,6037,483595,1.9763513513513513
2024-08-08,6037,6273,5898,6273,586035,3.909226436972006
2024-08-09,6326,6411,6229,6369,470396,1.5303682448589193
2024-08-12,6487,6743,6401,6562,853059,3.0303030303030303
2024-08-13,6594,6604,6390,6423,584648,-2.118256629076501
2024-08-14,6518,6518,6283,6294,469545,-2.008407286314806
2024-08-16,6326,6401,6122,6262,456507,-0.5084207181442644
2024-08-19,6262,6390,6165,6198,383064,-1.0220376876397317
2024-08-20,6230,6433,6230,6380,472328,2.936431106808648
2024-08-21,6455,6455,6219,6252,508646,-2.0062695924764893
2024-08-22,6273,6305,6133,6241,367611,-0.17594369801663468
2024-08-23,6241,6241,6048,6177,468006,-1.025476686428457
2024-08-26,6176,6262,6133,6230,297658,0.8580216933786627
2024-08-27,6272,6422,6230,6380,604423,2.4077046548956664
2024-08-28,6390,6443,6315,6369,355069,-0.1724137931034483
2024-08-29,6368,6486,6336,6401,441055,0.5024336630554247
2024-08-30,6401,6583,6369,6541,577843,2.1871582565224186
2024-09-02,6561,6572,6315,6401,571907,-2.140345512918514
2024-09-03,6400,6454,6283,6326,319129,-1.1716919231370098
2024-09-04,6111,6208,6015,6037,566010,-4.568447676256718
2024-09-05,6154,6240,6015,6080,446968,0.7122743084313401
2024-09-06,6133,6133,5930,5952,350662,-2.1052631578947367
2024-09-09,5876,6004,5780,6005,308262,0.8904569892473119
2024-09-10,6005,6037,5898,5909,315478,-1.5986677768526227
2024-09-11,5908,5951,5726,5780,293616,-2.183110509392452
2024-09-12,5833,6037,5812,6037,606747,4.446366782006921
2024-09-13,6037,6326,5994,6059,566670,0.36441941361603447
2024-09-19,6112,6197,6005,6048,328218,-0.18154811024921605
2024-09-20,6134,6134,5888,5888,422057,-2.6455026455026456
2024-09-23,5876,5919,5780,5834,259470,-0.9171195652173914
2024-09-24,5833,5887,5748,5866,349941,0.5485087418580734
2024-09-25,5898,5930,5727,5727,344383,-2.3695874531196726
2024-09-26,5737,5833,5726,5791,258310,1.1175135323904313
2024-09-27,5790,5801,5630,5673,318148,-2.0376446209635644
2024-09-30,5726,5758,5587,5673,300046,0.0
2024-10-02,5598,5620,5491,5556,385303,-2.0624008461131678
2024-10-04,5555,5566,5459,5545,232237,-0.19798416126709864
2024-10-07,5523,5673,5470,5631,219796,1.550946798917944
2024-10-08,5641,5641,5523,5534,155903,-1.7226069969809978
2024-10-10,5544,5598,5523,5598,203373,1.1564871702204553
2024-10-11,5566,5608,5533,5566,99165,-0.571632725973562
2024-10-14,5566,5609,5491,5545,165629,-0.37729069349622707
