날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,6830,7040,6820,7030,399725,2.1802325581395348
2024-06-04,6960,7020,6820,6840,341077,-2.7027027027027026
2024-06-05,6820,7250,6760,6870,1304062,0.43859649122807015
2024-06-07,6840,6910,6780,6790,331781,-1.1644832605531297
2024-06-10,6790,6800,6720,6720,242408,-1.0309278350515463
2024-06-11,6720,6770,6690,6700,221686,-0.2976190476190476
2024-06-12,6700,6750,6670,6720,147593,0.2985074626865672
2024-06-13,6700,6750,6660,6660,251318,-0.8928571428571428
2024-06-14,6690,6690,6550,6570,349299,-1.3513513513513513
2024-06-17,6570,6600,6490,6490,236692,-1.21765601217656
2024-06-18,6490,6570,6460,6510,187603,0.30816640986132515
2024-06-19,6500,6640,6460,6580,252437,1.0752688172043012
2024-06-20,6570,6630,6550,6590,119609,0.1519756838905775
2024-06-21,6560,6590,6480,6560,216764,-0.4552352048558422
2024-06-24,6500,6550,6450,6470,149008,-1.3719512195121952
2024-06-25,6500,6560,6440,6520,146582,0.7727975270479135
2024-06-26,6490,6530,6450,6460,113780,-0.9202453987730062
2024-06-27,6430,6460,6290,6290,310838,-2.631578947368421
2024-06-28,6290,6400,6290,6340,119517,0.7949125596184419
2024-07-01,6310,6460,6290,6460,107969,1.8927444794952681
2024-07-02,6400,6480,6350,6480,92427,0.30959752321981426
2024-07-03,6430,6520,6360,6410,130830,-1.0802469135802468
2024-07-04,6400,6540,6400,6540,187038,2.02808112324493
2024-07-05,6530,6570,6510,6530,114398,-0.1529051987767584
2024-07-08,6510,6570,6470,6510,100209,-0.3062787136294028
2024-07-09,6540,6560,6470,6480,75645,-0.4608294930875576
2024-07-10,6460,6490,6380,6390,129753,-1.3888888888888888
2024-07-11,6400,6440,6380,6440,114155,0.7824726134585289
2024-07-12,6460,6520,6420,6480,125031,0.6211180124223602
2024-07-15,6510,6620,6470,6580,203701,1.5432098765432098
2024-07-16,6550,6620,6510,6600,171462,0.303951367781155
2024-07-17,6630,6730,6590,6590,258613,-0.15151515151515152
2024-07-18,6650,6800,6500,6800,519764,3.1866464339908953
2024-07-19,6850,6850,6590,6620,260978,-2.6470588235294117
2024-07-22,6590,6630,6480,6560,148918,-0.906344410876133
2024-07-23,6520,6650,6390,6410,206046,-2.2865853658536586
2024-07-24,6390,6470,6370,6410,119479,0.0
2024-07-25,6400,6440,6250,6260,241437,-2.3400936037441498
2024-07-26,6260,6450,6260,6410,133420,2.3961661341853033
2024-07-29,6420,6470,6390,6400,100428,-0.15600624024961
2024-07-30,6350,6400,6280,6290,136854,-1.7187500000000002
2024-07-31,6290,6360,6250,6300,102989,0.1589825119236884
2024-08-01,6280,6410,6280,6390,123010,1.4285714285714286
2024-08-02,6340,6350,6170,6210,206584,-2.8169014084507045
2024-08-05,6080,6170,5300,5520,792094,-11.11111111111111
2024-08-06,5300,5800,5300,5580,466456,1.0869565217391304
2024-08-07,5500,5690,5500,5600,336778,0.35842293906810035
