날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,5070,5250,5030,5200,399221,3.5856573705179287
2024-06-04,5170,5220,5130,5140,264624,-1.153846153846154
2024-06-05,5150,5230,5060,5190,246669,0.9727626459143969
2024-06-07,5150,5220,5150,5170,213835,-0.3853564547206166
2024-06-10,5170,5200,5100,5200,202475,0.5802707930367506
2024-06-11,5200,5300,5180,5230,289782,0.576923076923077
2024-06-12,5270,5280,5150,5150,280489,-1.5296367112810707
2024-06-13,5160,5200,5150,5160,168919,0.1941747572815534
2024-06-14,5160,5230,5100,5150,368207,-0.1937984496124031
2024-06-17,5150,5180,5060,5060,290828,-1.7475728155339807
2024-06-18,5090,5500,5040,5280,2620223,4.3478260869565215
2024-06-19,5280,5280,5120,5120,618656,-3.0303030303030303
2024-06-20,5140,5170,5100,5100,254357,-0.390625
2024-06-21,5100,5150,5050,5150,266000,0.9803921568627451
2024-06-24,5110,5160,5000,5000,439264,-2.912621359223301
2024-06-25,5000,5030,4905,4935,384915,-1.3
2024-06-26,4940,4975,4915,4915,141171,-0.4052684903748734
2024-06-27,4900,4945,4825,4830,243354,-1.7293997965412005
2024-06-28,4820,4890,4810,4890,183300,1.2422360248447204
2024-07-01,4865,4975,4845,4950,183004,1.2269938650306749
2024-07-02,4970,5010,4845,4895,246909,-1.1111111111111112
2024-07-03,4895,4930,4855,4870,125736,-0.5107252298263534
2024-07-04,4850,4920,4845,4900,149735,0.6160164271047228
2024-07-05,4915,5070,4915,4925,241553,0.5102040816326531
2024-07-08,4925,5020,4920,5020,132749,1.9289340101522845
2024-07-09,5040,5040,4960,4965,131896,-1.0956175298804782
2024-07-10,4965,4995,4915,4920,119424,-0.906344410876133
2024-07-11,4925,4965,4895,4900,123832,-0.40650406504065045
2024-07-12,4890,4905,4865,4895,110197,-0.10204081632653061
2024-07-15,4895,4925,4885,4915,140842,0.40858018386108275
2024-07-16,4905,4960,4900,4920,169275,0.10172939979654119
2024-07-17,4915,5050,4915,4980,268176,1.2195121951219512
2024-07-18,4975,5070,4885,4995,352831,0.30120481927710846
2024-07-19,4975,5020,4915,4940,150139,-1.1011011011011012
2024-07-22,4940,4945,4830,4830,188173,-2.2267206477732793
2024-07-23,4835,4865,4775,4780,182937,-1.0351966873706004
2024-07-24,4775,4780,4635,4665,240942,-2.405857740585774
2024-07-25,4580,4660,4535,4620,224180,-0.964630225080386
2024-07-26,4625,4810,4570,4635,245662,0.3246753246753247
2024-07-29,4620,4725,4620,4695,140304,1.2944983818770228
2024-07-30,4655,4745,4585,4590,169877,-2.2364217252396164
2024-07-31,4565,4580,4460,4550,242694,-0.8714596949891068
2024-08-01,4575,4785,4570,4760,179885,4.615384615384616
2024-08-02,4690,4735,4530,4530,232212,-4.831932773109244
2024-08-05,4460,4520,3935,3995,867977,-11.810154525386315
2024-08-06,3995,4240,3995,4155,478559,4.005006257822278
2024-08-07,4135,4300,4135,4240,262923,2.0457280385078223
2024-08-08,4230,4310,4025,4230,180270,-0.2358490566037736
2024-08-09,4265,4355,4255,4280,133217,1.1820330969267139
2024-08-12,4260,4430,4260,4390,172563,2.570093457943925
2024-08-13,4370,4425,4315,4395,118873,0.11389521640091116
2024-08-14,4450,4485,4370,4445,123413,1.1376564277588168
2024-08-16,4470,4500,4400,4400,125588,-1.0123734533183353
2024-08-19,4400,4500,4305,4315,124283,-1.9318181818181817
2024-08-20,4330,4475,4330,4450,145151,3.1286210892236386
2024-08-21,4445,4505,4415,4425,89237,-0.5617977528089888
2024-08-22,4425,4485,4385,4420,88785,-0.11299435028248588
2024-08-23,4335,4410,4335,4360,90339,-1.3574660633484164
2024-08-26,4370,4405,4300,4300,85277,-1.3761467889908259
2024-08-27,4300,4340,4255,4290,65465,-0.23255813953488372
2024-08-28,4300,4335,4235,4250,95757,-0.9324009324009324
2024-08-29,4220,4265,4165,4215,87642,-0.823529411764706
2024-08-30,4220,4260,4210,4235,92122,0.4744958481613286
2024-09-02,4235,4405,4235,4350,190442,2.715466351829988
2024-09-03,4340,4405,4330,4395,100946,1.0344827586206897
2024-09-04,4365,4365,4170,4185,250513,-4.778156996587031
2024-09-05,4200,4385,4195,4205,170129,0.4778972520908005
2024-09-06,4160,4215,4045,4050,189494,-3.686087990487515
2024-09-09,3980,4110,3965,4070,98577,0.49382716049382713
2024-09-10,4060,4135,4015,4020,97632,-1.2285012285012284
2024-09-11,4020,4100,4000,4025,121820,0.12437810945273632
2024-09-12,4070,4260,4060,4260,183302,5.838509316770186
2024-09-13,4340,4340,4220,4225,73226,-0.8215962441314555
2024-09-19,4200,4265,4160,4190,122079,-0.8284023668639053
2024-09-20,4225,4360,4225,4360,163353,4.05727923627685
2024-09-23,4360,4370,4295,4305,116807,-1.261467889908257
2024-09-24,4305,4440,4305,4440,180951,3.1358885017421603
2024-09-25,4445,4475,4355,4360,143497,-1.8018018018018018
2024-09-26,4360,4455,4325,4450,193025,2.064220183486239
2024-09-27,4445,4450,4380,4440,129060,-0.22471910112359553
2024-09-30,4385,4440,4295,4295,159470,-3.2657657657657655
2024-10-02,4280,4285,4195,4235,122228,-1.3969732246798603
2024-10-04,4205,4265,4180,4185,160925,-1.1806375442739079
2024-10-07,4190,4360,4190,4345,97374,3.823178016726404
2024-10-08,4340,4345,4275,4290,87592,-1.2658227848101267
2024-10-10,4320,4350,4215,4235,114866,-1.282051282051282
2024-10-11,4235,4285,4185,4200,111968,-0.8264462809917356
2024-10-14,4180,4225,4125,4175,174865,-0.5952380952380952
2024-10-15,4170,4210,4130,4170,154564,-0.11976047904191617
2024-10-16,4170,4215,4075,4075,180327,-2.278177458033573
2024-10-17,4100,4245,4100,4115,134774,0.98159509202454
2024-10-18,4120,4165,4070,4110,105732,-0.12150668286755771
2024-10-21,4145,4165,4085,4110,94800,0.0
2024-10-22,4085,4090,3950,3985,216544,-3.0413625304136254
2024-10-23,3990,4060,3955,4030,129610,1.1292346298619824
2024-10-24,4005,4010,3950,3960,145936,-1.7369727047146404
