날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,20100,20450,19990,20300,15887,0.9950248756218906
2024-06-04,20400,20500,20100,20100,3832,-0.9852216748768473
2024-06-05,20350,20350,20000,20100,5130,0.0
2024-06-07,20300,20300,19780,20050,23879,-0.24875621890547264
2024-06-10,20150,20250,20000,20150,10368,0.4987531172069825
2024-06-11,20300,20300,19950,20000,12249,-0.7444168734491315
2024-06-12,20000,20150,18840,20000,12182,0.0
2024-06-13,19910,20150,19820,19870,14549,-0.65
2024-06-14,19710,20000,19610,19900,23045,0.1509813789632612
2024-06-17,19900,20150,19900,20100,21298,1.0050251256281406
2024-06-18,20050,20800,20050,20200,12396,0.4975124378109453
2024-06-19,20500,20500,20000,20000,6311,-0.9900990099009901
2024-06-20,20100,20250,20000,20050,5248,0.25
2024-06-21,20000,20250,19990,20050,3744,0.0
2024-06-24,20200,20200,19520,19750,11570,-1.4962593516209477
2024-06-25,19610,19960,19610,19780,4015,0.1518987341772152
2024-06-26,20000,20000,19730,19740,1770,-0.20222446916076847
2024-06-27,19670,19940,19670,19800,3094,0.303951367781155
2024-06-28,19800,19940,19440,19670,13190,-0.6565656565656566
2024-07-01,19500,19670,19330,19340,10607,-1.677681748856126
2024-07-02,19640,19640,19130,19240,6219,-0.5170630816959669
2024-07-03,19290,19330,18890,18930,10555,-1.6112266112266114
2024-07-04,18930,19130,18720,18720,13947,-1.109350237717908
2024-07-05,18760,19980,18750,19470,19040,4.006410256410256
2024-07-08,19460,19470,19100,19300,15019,-0.8731381612737544
2024-07-09,19290,19480,19140,19280,12085,-0.10362694300518134
2024-07-10,19280,19350,19010,19120,8515,-0.8298755186721992
2024-07-11,19030,19350,18940,19010,6692,-0.5753138075313807
2024-07-12,18950,19230,18950,19080,22056,0.3682272488164124
2024-07-15,19080,19250,19010,19120,6874,0.20964360587002098
2024-07-16,19240,19360,19100,19240,11937,0.6276150627615062
2024-07-17,19240,19350,19160,19200,11422,-0.2079002079002079
2024-07-18,19050,19390,19020,19110,7428,-0.46875
2024-07-19,19050,19170,18970,19050,6417,-0.3139717425431711
2024-07-22,19110,19110,18620,19010,22812,-0.2099737532808399
2024-07-23,19010,19190,18800,19030,8672,0.10520778537611783
2024-07-24,18940,19290,18940,19090,23060,0.3152916447714136
2024-07-25,19090,19090,18840,18850,4397,-1.2572027239392352
2024-07-26,18850,19300,18820,19040,7416,1.0079575596816976
2024-07-29,19020,19390,19020,19210,14883,0.8928571428571428
2024-07-30,19370,19370,19030,19030,5809,-0.9370119729307652
2024-07-31,18950,19820,18950,19780,16097,3.9411455596426697
2024-08-01,19730,21500,19590,20800,36904,5.156723963599596
2024-08-02,20800,20800,20000,20650,18048,-0.7211538461538461
2024-08-05,20450,20650,18870,19000,16064,-7.990314769975787
2024-08-06,19500,19740,19040,19600,9046,3.1578947368421053
2024-08-07,19420,20200,19420,20000,7649,2.0408163265306123
2024-08-08,19990,19990,19600,19770,9374,-1.15
2024-08-09,19790,20000,19510,19520,16518,-1.2645422357106728
2024-08-12,19520,19700,19140,19150,12554,-1.8954918032786885
2024-08-13,19280,19280,19070,19160,3208,0.05221932114882506
2024-08-14,19170,19390,19160,19310,6004,0.7828810020876826
2024-08-16,19320,19500,19200,19250,15693,-0.31071983428275507
2024-08-19,19250,19370,19090,19210,14873,-0.2077922077922078
2024-08-20,19290,19750,19170,19400,7313,0.989068193649141
2024-08-21,19490,19850,19250,19550,13342,0.7731958762886598
2024-08-22,19450,19700,19250,19250,3032,-1.5345268542199488
2024-08-23,19400,19500,19180,19280,18122,0.15584415584415584
2024-08-26,19280,19500,18870,18870,15766,-2.1265560165975104
2024-08-27,18900,19040,18680,18680,12984,-1.00688924218336
2024-08-28,18690,19000,18380,18470,6759,-1.1241970021413277
2024-08-29,18400,18700,18250,18630,12074,0.8662696264212236
2024-08-30,18630,18980,18520,18620,2575,-0.05367686527106817
2024-09-02,18580,18770,18570,18610,4813,-0.05370569280343716
2024-09-03,18620,18940,18620,18780,3109,0.9134873723804406
2024-09-04,18780,18850,18420,18500,5245,-1.4909478168264112
2024-09-05,18500,19050,18500,18940,8246,2.3783783783783785
2024-09-06,18670,18880,18560,18580,3548,-1.9007391763463568
2024-09-09,18560,18650,18120,18570,9063,-0.05382131324004305
2024-09-10,18700,18900,18600,18610,10944,0.2154011847065159
2024-09-11,18610,18790,18610,18660,7185,0.2686727565824825
2024-09-12,18840,19150,18730,18990,21988,1.7684887459807075
2024-09-13,18940,19440,18930,19420,10531,2.2643496577145865
2024-09-19,19420,19420,19040,19150,3471,-1.3903192584963955
2024-09-20,19080,19480,19080,19280,10911,0.6788511749347258
2024-09-23,19550,19550,19200,19270,8060,-0.05186721991701245
2024-09-24,19440,19480,19140,19140,2331,-0.6746237675142709
2024-09-25,19070,19300,18850,18990,4252,-0.7836990595611284
2024-09-26,19050,19440,18900,18960,5411,-0.1579778830963665
2024-09-27,18960,19220,18850,19140,3797,0.949367088607595
2024-09-30,19290,19500,19140,19330,5749,0.9926854754440961
2024-10-02,19300,20300,19200,19900,26572,2.9487842731505434
2024-10-04,19900,20050,19620,19980,15301,0.4020100502512563
2024-10-07,19980,19980,19700,19710,7264,-1.3513513513513513
2024-10-08,19640,20000,19500,19710,8884,0.0
2024-10-10,19670,19900,19600,19750,8238,0.20294266869609334
2024-10-11,19930,19930,19670,19890,1631,0.7088607594936709
2024-10-14,19930,19930,19500,19500,5156,-1.9607843137254901
2024-10-15,19500,19630,19340,19500,4667,0.0
2024-10-16,19490,19490,19090,19390,5606,-0.5641025641025641
2024-10-17,19330,19540,19110,19140,10576,-1.2893243940175347
2024-10-18,19240,19360,18800,19000,6456,-0.7314524555903866
2024-10-21,19000,19200,18830,18980,6207,-0.10526315789473684
2024-10-22,19190,19190,18550,18920,9785,-0.31612223393045313
2024-10-23,19000,19120,18810,18820,6907,-0.5285412262156448
2024-10-24,18920,19030,18790,18830,4097,0.053134962805526036
2024-10-25,18830,19100,18760,19050,10049,1.168348380244291
2024-10-28,19200,19890,19120,19800,11065,3.937007874015748
2024-10-29,19830,20200,19500,19580,18297,-1.1111111111111112
2024-10-30,20150,21150,19910,20550,47071,4.954034729315628
2024-10-31,20650,21550,20000,21400,28491,4.13625304136253
2024-11-01,21250,22350,21100,22250,18339,3.9719626168224296
2024-11-04,22300,22450,21800,22100,14744,-0.6741573033707865
2024-11-05,22100,22700,21400,22450,29979,1.583710407239819
2024-11-06,22450,22500,21900,22300,16849,-0.6681514476614699
2024-11-07,22150,22150,21750,21850,8690,-2.0179372197309418
2024-11-08,21800,22100,21650,21650,5954,-0.9153318077803204
2024-11-11,21650,21950,21400,21550,24500,-0.4618937644341801
2024-11-12,21500,21500,20750,20950,12873,-2.784222737819025
2024-11-13,20700,20900,20400,20450,8790,-2.386634844868735
2024-11-14,20550,20550,19300,20100,7092,-1.7114914425427872
2024-11-15,19990,20250,19700,20250,11738,0.7462686567164178
2024-11-18,20200,20650,20200,20400,6206,0.7407407407407408
2024-11-19,20800,20850,20500,20550,9496,0.7352941176470588
2024-11-20,20500,20800,20450,20550,6416,0.0
2024-11-21,20550,20650,20300,20550,4469,0.0
2024-11-22,20550,20750,20400,20500,4840,-0.24330900243309003
2024-11-25,20450,20850,20450,20800,2037,1.4634146341463417
2024-11-26,20900,21750,20850,21600,10596,3.8461538461538463
2024-11-27,21450,21600,21100,21200,4519,-1.8518518518518516
2024-11-28,21100,21300,21100,21150,3327,-0.2358490566037736
2024-11-29,21150,21400,20950,21200,2521,0.2364066193853428
2024-12-02,21050,21400,20850,20900,5430,-1.4150943396226416
2024-12-03,20900,21400,20900,21400,4882,2.3923444976076556
2024-12-04,21000,21950,21000,21150,23279,-1.1682242990654206
2024-12-05,21150,21550,21000,21200,8572,0.2364066193853428
2024-12-06,21200,21500,20600,21150,17506,-0.2358490566037736
2024-12-09,20750,21250,20500,20700,11400,-2.127659574468085
2024-12-10,20700,21800,20700,21500,13238,3.864734299516908
2024-12-11,21500,22150,21400,21800,8264,1.3953488372093024
2024-12-12,21650,22050,21500,22050,24904,1.146788990825688
2024-12-13,22300,23600,21900,22450,57908,1.8140589569160999
