날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,46350,46900,46200,46850,15408,1.0787486515641855
2024-06-04,46850,47200,46450,46550,8420,-0.6403415154749199
2024-06-05,46500,46650,46150,46300,8250,-0.5370569280343717
2024-06-07,46350,46450,45950,46300,12870,0.0
2024-06-10,46350,47250,46050,47100,12109,1.7278617710583155
2024-06-11,47000,47300,47000,47050,7016,-0.10615711252653928
2024-06-12,47050,47300,46800,47150,10947,0.21253985122210414
2024-06-13,47200,47300,46700,47000,11432,-0.3181336161187699
2024-06-14,46800,47300,46700,47300,7538,0.6382978723404255
2024-06-17,47300,47900,47050,47850,12392,1.1627906976744187
2024-06-18,47850,50000,47850,49950,35621,4.38871473354232
2024-06-19,50000,50100,48950,48950,14700,-2.002002002002002
2024-06-20,49300,49750,48800,49350,6831,0.8171603677221655
2024-06-21,49100,49300,48600,48750,9910,-1.21580547112462
2024-06-24,48750,48900,48500,48800,3060,0.10256410256410256
2024-06-25,48950,50100,48750,49600,11004,1.639344262295082
2024-06-26,49600,50100,49500,49750,4089,0.3024193548387097
2024-06-27,49500,49700,48700,48750,6624,-2.0100502512562812
2024-06-28,48750,49150,48550,48900,1462,0.3076923076923077
2024-07-01,49150,49150,48550,48600,2876,-0.6134969325153374
2024-07-02,48800,48850,47700,48000,7282,-1.2345679012345678
2024-07-03,47850,48850,47850,48550,4477,1.1458333333333333
2024-07-04,48550,49950,48550,49650,10088,2.265705458290422
2024-07-05,49650,50200,48750,48900,17279,-1.5105740181268883
2024-07-08,49000,49500,48350,48400,7955,-1.0224948875255624
2024-07-09,48400,48500,48000,48200,5672,-0.4132231404958678
2024-07-10,48250,49400,47550,49050,7585,1.7634854771784232
2024-07-11,49050,49400,48800,48950,5373,-0.20387359836901123
2024-07-12,48500,49000,48350,48550,2364,-0.8171603677221655
2024-07-15,48550,49150,48150,48300,4861,-0.5149330587023687
2024-07-16,48450,48600,48100,48300,3383,0.0
2024-07-17,48300,48500,47800,47900,4283,-0.8281573498964804
2024-07-18,47900,48100,47500,47900,7187,0.0
2024-07-19,47850,48000,47500,48000,3548,0.20876826722338201
2024-07-22,47650,48000,47500,47500,1870,-1.0416666666666665
2024-07-23,47550,47950,46950,47450,7256,-0.10526315789473684
2024-07-24,47400,47650,47000,47150,2266,-0.6322444678609063
2024-07-25,46900,46900,46250,46600,5324,-1.166489925768823
2024-07-26,46550,46700,46350,46600,5215,0.0
2024-07-29,46550,48200,46550,48150,10735,3.3261802575107295
2024-07-30,48300,48300,47300,47550,4195,-1.2461059190031152
2024-07-31,47600,47950,47500,47850,1979,0.6309148264984227
2024-08-01,47850,48250,47700,47900,2406,0.10449320794148381
2024-08-02,47400,48350,47300,47700,4611,-0.41753653444676403
2024-08-05,47300,47300,45200,45900,13504,-3.7735849056603774
2024-08-06,45900,47000,45650,46650,7963,1.6339869281045754
2024-08-07,46250,47000,46100,46450,7641,-0.4287245444801715
2024-08-08,46100,47150,45850,46850,6369,0.8611410118406888
2024-08-09,47000,47350,46750,47050,2630,0.42689434364994666
2024-08-12,47000,47300,46750,47000,2666,-0.10626992561105207
2024-08-13,47300,47300,46450,46800,2515,-0.425531914893617
2024-08-14,47100,47200,46500,46800,3266,0.0
2024-08-16,46800,48500,46750,47200,32466,0.8547008547008548
2024-08-19,47500,48350,47200,47800,13594,1.2711864406779663
2024-08-20,47850,48400,47750,48400,4909,1.2552301255230125
2024-08-21,48350,48600,48000,48550,4352,0.30991735537190085
2024-08-22,48550,48550,47600,48300,1861,-0.5149330587023687
2024-08-23,48300,48650,47700,48450,4269,0.3105590062111801
2024-08-26,48450,48600,47700,47950,5207,-1.0319917440660475
2024-08-27,47950,48400,47750,48000,2828,0.10427528675703858
2024-08-28,48000,48500,47650,48150,4405,0.3125
2024-08-29,48150,48300,47700,48000,2985,-0.3115264797507788
2024-08-30,48000,48000,47550,47900,2360,-0.20833333333333334
2024-09-02,48100,48150,47600,47900,1793,0.0
2024-09-03,47900,48500,47650,48050,2392,0.31315240083507306
2024-09-04,47600,48000,47150,47300,5794,-1.5608740894901143
2024-09-05,47300,47900,46600,47200,6914,-0.21141649048625794
2024-09-06,47250,47300,43950,46450,6709,-1.5889830508474576
2024-09-09,46350,46500,45600,46250,8930,-0.4305705059203444
2024-09-10,46250,46700,46100,46450,2225,0.43243243243243246
2024-09-11,46400,46450,45950,46200,2164,-0.5382131324004306
2024-09-12,46400,46650,46300,46500,891,0.6493506493506493
2024-09-13,46850,46850,46600,46750,1411,0.5376344086021506
2024-09-19,46700,46750,46500,46650,2258,-0.21390374331550802
2024-09-20,46750,47100,46700,46700,2518,0.10718113612004287
2024-09-23,46700,47400,46700,46800,60476,0.21413276231263384
2024-09-24,47250,47500,46850,47150,1802,0.7478632478632479
2024-09-25,47250,47850,46900,47750,2241,1.2725344644750796
2024-09-26,47900,48000,47150,47250,3322,-1.0471204188481675
2024-09-27,47300,48200,47300,48000,3703,1.5873015873015872
2024-09-30,48000,48100,47150,47750,4181,-0.5208333333333333
2024-10-02,47700,48150,47150,47550,4076,-0.41884816753926707
2024-10-04,47550,48500,47250,48200,6833,1.3669821240799158
2024-10-07,48250,48250,47600,47900,6798,-0.6224066390041494
2024-10-08,48050,48350,47850,47850,9155,-0.10438413361169101
2024-10-10,47850,49350,47650,49000,11774,2.4033437826541273
2024-10-11,49000,49450,48900,49400,6386,0.8163265306122449
2024-10-14,49400,49500,48950,49400,4940,0.0
2024-10-15,49400,49500,48800,48850,2420,-1.1133603238866396
2024-10-16,48850,48850,48250,48600,2077,-0.511770726714432
2024-10-17,48600,48750,48050,48100,3252,-1.02880658436214
2024-10-18,48100,48450,48000,48000,2272,-0.2079002079002079
2024-10-21,48400,48400,47700,47700,2930,-0.625
2024-10-22,47700,47800,47100,47300,3090,-0.8385744234800839
2024-10-23,47300,47400,46850,46950,5381,-0.7399577167019027
2024-10-24,47250,47250,46800,47000,2230,0.10649627263045794
2024-10-25,47000,47100,46500,46900,5161,-0.2127659574468085
2024-10-28,46900,47350,46900,47100,2086,0.42643923240938164
2024-10-29,47250,47300,47050,47050,3189,-0.10615711252653928
2024-10-30,47250,47450,47000,47250,3236,0.4250797024442083
2024-10-31,47300,47500,47100,47150,2487,-0.21164021164021166
2024-11-01,47350,47350,46550,46700,10271,-0.9544008483563097
2024-11-04,47000,47200,46550,47100,2286,0.8565310492505354
2024-11-05,47100,47250,46900,47050,1920,-0.10615711252653928
2024-11-06,47200,47200,46650,46800,5117,-0.5313496280552604
2024-11-07,46650,46900,46650,46850,2723,0.10683760683760685
2024-11-08,46800,47000,46550,46800,4013,-0.10672358591248667
2024-11-11,46700,46750,46050,46100,6774,-1.4957264957264957
2024-11-12,46100,46250,45500,45500,5812,-1.3015184381778742
2024-11-13,45500,45900,45100,45400,5108,-0.21978021978021978
2024-11-14,45450,45500,44750,44750,6440,-1.4317180616740088
2024-11-15,44950,44950,43950,44350,11350,-0.8938547486033519
2024-11-18,44350,45400,44350,44950,5088,1.3528748590755355
2024-11-19,45200,45550,45000,45200,3540,0.5561735261401557
2024-11-20,45400,45550,45200,45400,1744,0.4424778761061947
2024-11-21,45500,45900,45200,45500,2024,0.22026431718061676
2024-11-22,45700,45800,45150,45300,2627,-0.43956043956043955
2024-11-25,45550,45650,45300,45300,1167,0.0
2024-11-26,45350,45450,45000,45250,4535,-0.11037527593818984
2024-11-27,45150,45400,45100,45300,5614,0.11049723756906078
2024-11-28,45350,45600,45100,45600,4109,0.6622516556291391
2024-11-29,45600,45800,44850,44950,8638,-1.425438596491228
2024-12-02,45150,45150,44300,44900,6900,-0.11123470522803114
2024-12-03,44800,45300,44650,45300,4830,0.8908685968819599
2024-12-04,44650,45100,44600,44800,7033,-1.1037527593818985
2024-12-05,44800,44800,43900,44100,7330,-1.5625
2024-12-06,44200,44200,43150,43850,12127,-0.5668934240362812
2024-12-09,43750,43750,42000,42300,21799,-3.534777651083238
2024-12-10,42350,43500,42350,43400,5864,2.6004728132387704
2024-12-11,43400,44050,43300,43850,4188,1.0368663594470047
2024-12-12,43850,44550,43850,44550,5348,1.596351197263398
2024-12-13,44600,45050,44500,44850,5144,0.6734006734006733
2024-12-16,44950,45100,44700,44900,2926,0.11148272017837235
2024-12-17,44900,44950,44250,44350,7533,-1.2249443207126949
2024-12-18,44600,45200,44400,45200,2694,1.9165727170236753
2024-12-19,45100,45100,44600,44950,1226,-0.5530973451327433
2024-12-20,44950,45100,44600,44900,1731,-0.11123470522803114
2024-12-23,45000,45200,44800,45200,4194,0.6681514476614699
2024-12-24,45200,45350,45050,45350,3398,0.33185840707964603
2024-12-26,45400,46400,45350,45750,10868,0.8820286659316428
2024-12-27,44000,44300,43400,43850,10501,-4.1530054644808745
2024-12-30,43700,44050,43500,43850,2635,0.0
2025-01-02,43950,44050,42950,43500,9452,-0.798175598631699
2025-01-03,43450,43450,42750,43300,14391,-0.45977011494252873
2025-01-06,43250,43300,42700,43200,5876,-0.23094688221709006
2025-01-07,43300,43450,43150,43400,5929,0.4629629629629629
2025-01-08,43350,43800,43100,43300,4875,-0.2304147465437788
2025-01-09,43300,43400,42850,42950,5452,-0.8083140877598153
2025-01-10,42950,43400,42800,43250,5135,0.6984866123399301
2025-01-13,43250,43300,42700,42800,3397,-1.0404624277456647
2025-01-14,42950,43150,42750,42950,1823,0.35046728971962615
2025-01-15,43050,43150,42900,43000,1801,0.11641443538998836
2025-01-16,43100,43300,42750,43100,1926,0.23255813953488372
2025-01-17,43100,43200,42700,43050,4801,-0.11600928074245939
2025-01-20,43050,43150,42850,43000,1121,-0.11614401858304298
2025-01-21,43050,43100,42650,42700,1938,-0.6976744186046512
2025-01-22,42800,44400,42600,43100,4881,0.936768149882904
2025-01-23,43000,43150,42400,42450,3854,-1.5081206496519721
2025-01-24,42600,42750,42300,42450,3382,0.0
2025-01-31,42800,42850,42400,42450,2744,0.0
2025-02-03,42700,42700,41900,41900,7018,-1.2956419316843346
2025-02-04,42000,42350,41700,41800,3475,-0.23866348448687352
2025-02-05,42150,42300,41750,42300,2909,1.1961722488038278
2025-02-06,42350,42400,41950,42350,2484,0.1182033096926714
2025-02-07,42450,42800,42200,42550,5179,0.47225501770956313
2025-02-10,42550,42900,42400,42850,7094,0.7050528789659225
2025-02-11,42950,42950,42550,42850,2770,0.0
2025-02-12,42750,42950,42600,42800,1612,-0.11668611435239205
2025-02-13,42750,43200,42650,42750,3836,-0.11682242990654204
2025-02-14,42950,43350,42750,43200,4666,1.0526315789473684
2025-02-17,43100,43450,43050,43300,3015,0.23148148148148145
2025-02-18,43200,43500,43100,43300,3925,0.0
2025-02-19,43200,43500,43200,43500,1782,0.4618937644341801
2025-02-20,43500,43550,43400,43500,2339,0.0
2025-02-21,43450,43700,43450,43600,2726,0.22988505747126436
2025-02-24,43600,44100,43600,44000,3779,0.9174311926605505
2025-02-25,43900,44150,43700,44150,3435,0.3409090909090909
2025-02-26,44050,44450,43950,44200,3458,0.11325028312570783
2025-02-27,44200,44700,44150,44550,2770,0.7918552036199095
2025-02-28,44450,44450,43850,44100,3353,-1.0101010101010102
2025-03-04,44400,44400,43700,43800,3520,-0.6802721088435374
2025-03-05,43800,44250,43700,44000,1963,0.45662100456621
2025-03-06,44000,44450,44000,44000,1422,0.0
2025-03-07,43800,44550,43800,44500,2101,1.1363636363636365
2025-03-10,44700,45000,44350,44700,4986,0.44943820224719105
2025-03-11,44700,44700,44000,44350,18666,-0.7829977628635347
2025-03-12,44400,44500,44000,44150,3251,-0.4509582863585118
2025-03-13,44200,44300,43850,43850,5438,-0.6795016987542469
2025-03-14,43900,44200,43750,43950,3120,0.22805017103762829
2025-03-17,44100,44150,43700,43950,3640,0.0
2025-03-18,43950,44000,43750,43900,2913,-0.11376564277588168
2025-03-19,43800,44200,43800,44050,2971,0.3416856492027335
2025-03-20,43950,44250,43950,44200,1634,0.340522133938706
2025-03-21,44200,44250,44000,44150,1871,-0.11312217194570137
2025-03-24,44150,44200,43800,44100,5889,-0.11325028312570783
2025-03-25,44100,44100,43450,43650,8114,-1.0204081632653061
2025-03-26,43700,43700,43250,43600,6361,-0.11454753722794961
2025-03-27,43750,43750,43400,43600,1725,0.0
2025-03-28,43700,43700,43200,43400,5032,-0.45871559633027525
2025-03-31,43100,43350,42800,42850,3702,-1.2672811059907834
2025-04-01,43200,43200,42650,42850,12848,0.0
2025-04-02,42800,42925,42500,42750,9970,-0.2333722287047841
2025-04-03,42600,42850,42200,42750,6023,0.0
2025-04-04,42750,42950,42500,42850,2723,0.23391812865497078
2025-04-07,42750,42750,41900,42200,6695,-1.5169194865810969
2025-04-08,42250,42950,42200,42450,7747,0.5924170616113744
2025-04-09,42450,42600,41700,42300,7178,-0.35335689045936397
2025-04-10,42400,43100,42350,43000,8283,1.6548463356973995
2025-04-11,42950,43050,42550,43050,1702,0.11627906976744186
2025-04-14,43050,43450,42950,43350,3700,0.6968641114982579
2025-04-15,43150,43450,43150,43400,86227,0.11534025374855825
2025-04-16,43400,43550,43150,43450,2764,0.1152073732718894
2025-04-17,43450,43550,43400,43550,2220,0.23014959723820483
2025-04-18,43600,43850,43400,43700,3148,0.3444316877152698
2025-04-21,43950,44050,43700,44000,2567,0.6864988558352403
2025-04-22,44000,44450,43900,44400,3909,0.9090909090909091
2025-04-23,44450,44550,44400,44500,2690,0.22522522522522523
2025-04-24,44500,44700,44200,44400,8075,-0.22471910112359553
2025-04-25,44400,45050,44350,44950,6382,1.2387387387387387
2025-04-28,44950,45500,44700,45300,3949,0.778642936596218
2025-04-29,45450,45450,44900,45400,3615,0.22075055187637968
2025-04-30,45400,45900,44900,44900,3835,-1.1013215859030838
2025-05-02,45200,45200,44700,44850,3603,-0.11135857461024498
2025-05-07,45000,45200,44600,45200,6086,0.7803790412486065
2025-05-08,44900,45250,44900,45250,3257,0.11061946902654868
2025-05-09,45300,45400,44800,45150,7054,-0.22099447513812157
2025-05-12,45150,45550,45150,45550,5220,0.8859357696566998
2025-05-13,45700,45850,45400,45450,3841,-0.21953896816684962
2025-05-14,45700,45750,45350,45550,4396,0.22002200220022
2025-05-15,45600,45700,45400,45700,3118,0.3293084522502744
2025-05-16,44800,45300,43950,44350,15574,-2.954048140043764
2025-05-19,44200,44400,43950,44250,7398,-0.2254791431792559
2025-05-20,44350,44750,44100,44550,3204,0.6779661016949152
2025-05-21,44650,44950,44350,44500,7377,-0.11223344556677892
2025-05-22,44550,44550,44200,44350,5129,-0.33707865168539325
2025-05-23,44400,44700,44300,44600,4922,0.5636978579481398
2025-05-26,44600,45150,44600,45100,3797,1.1210762331838564
2025-05-27,45100,45700,45100,45550,6240,0.9977827050997782
2025-05-28,45450,45650,45100,45250,9139,-0.6586169045005488
2025-05-29,45350,46300,45300,46200,9449,2.0994475138121547
2025-05-30,46200,46350,45650,46100,3375,-0.21645021645021645
2025-06-02,46100,46350,45650,45850,7274,-0.5422993492407809
2025-06-04,46000,47150,46000,47050,16493,2.6172300981461287
2025-06-05,47200,47250,46800,47050,7791,0.0
2025-06-09,47250,48250,47250,48050,14342,2.1253985122210417
2025-06-10,48050,48700,48000,48300,10263,0.5202913631633715
2025-06-11,47950,48350,47950,48250,6731,-0.10351966873706005
2025-06-12,48300,48750,48250,48400,11654,0.31088082901554404
2025-06-13,48400,48700,47150,47750,12070,-1.3429752066115703
2025-06-16,47550,47900,46300,47900,6241,0.31413612565445026
2025-06-17,47800,48250,47450,47850,9631,-0.10438413361169101
2025-06-18,47750,48500,47550,47800,4602,-0.10449320794148381
2025-06-19,47800,47950,47400,47800,2809,0.0
2025-06-20,47650,48250,47500,47750,4528,-0.10460251046025104
2025-06-23,47750,48500,47400,47600,3950,-0.31413612565445026
2025-06-24,47650,48200,47500,47900,4694,0.6302521008403361
