날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,57800,58800,57700,58800,1740,1.7301038062283738
2024-06-04,58600,59000,58100,58500,631,-0.5102040816326531
2024-06-05,58000,58900,58000,58200,1137,-0.5128205128205128
2024-06-07,58200,58700,57700,57700,915,-0.859106529209622
2024-06-10,57800,58400,57100,57400,1430,-0.5199306759098787
2024-06-11,57400,57900,57200,57500,1263,0.17421602787456447
2024-06-12,57400,57900,57300,57900,647,0.6956521739130435
2024-06-13,57700,58400,57700,57800,465,-0.17271157167530224
2024-06-14,57700,58200,57700,57900,803,0.17301038062283738
2024-06-17,57900,58600,57800,58000,851,0.17271157167530224
2024-06-18,57400,58300,57400,58000,2413,0.0
2024-06-19,58000,58000,57500,57500,1045,-0.8620689655172413
2024-06-20,57600,58000,57500,57900,1141,0.6956521739130435
2024-06-21,58000,58000,57700,57900,1248,0.0
2024-06-24,57900,58100,57900,58000,1775,0.17271157167530224
2024-06-25,58000,58500,57700,58200,1192,0.3448275862068966
2024-06-26,58600,58600,58000,58300,858,0.1718213058419244
2024-06-27,58100,58100,57700,57700,1209,-1.0291595197255576
2024-06-28,58200,58200,57600,58000,375,0.5199306759098787
2024-07-01,58000,58100,57500,57600,550,-0.6896551724137931
2024-07-02,57800,57800,56600,56700,2317,-1.5625
2024-07-03,56800,57200,56600,56700,621,0.0
2024-07-04,57000,57200,56600,56800,1787,0.1763668430335097
2024-07-05,57100,57700,56800,57400,2320,1.056338028169014
2024-07-08,57600,57900,57300,57500,358,0.17421602787456447
2024-07-09,57100,58000,57000,57900,489,0.6956521739130435
2024-07-10,58100,58100,57600,57600,346,-0.5181347150259068
2024-07-11,57800,58300,57600,57600,656,0.0
2024-07-12,58400,58400,57200,57600,259,0.0
2024-07-15,57600,58200,57200,57900,405,0.5208333333333333
2024-07-16,58300,58300,57600,57600,127574,-0.5181347150259068
2024-07-17,57600,57800,57100,57700,471,0.1736111111111111
2024-07-18,57600,57600,56800,57100,831,-1.0398613518197575
2024-07-19,57100,57100,56500,56800,1625,-0.5253940455341506
2024-07-22,56800,57100,56700,57000,1603,0.35211267605633806
2024-07-23,57000,57000,56500,56500,670,-0.8771929824561403
2024-07-24,56900,57100,56700,57100,282,1.0619469026548671
2024-07-25,57100,57100,56700,56800,279,-0.5253940455341506
2024-07-26,57100,57400,56800,57100,562,0.528169014084507
2024-07-29,57100,57700,56900,57200,913,0.17513134851138354
2024-07-30,57600,57600,56800,56800,481,-0.6993006993006993
2024-07-31,57700,57700,56900,57500,417,1.232394366197183
2024-08-01,57700,57700,56900,57100,1013,-0.6956521739130435
2024-08-02,57100,57100,56300,56300,906,-1.4010507880910683
2024-08-05,56300,56300,52700,54000,4308,-4.085257548845471
2024-08-06,53800,56000,53600,55900,1666,3.5185185185185186
2024-08-07,55700,56700,55300,56700,511,1.4311270125223614
