날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,693,721,685,706,511759,1.291248206599713
2024-06-04,706,710,691,691,360702,-2.1246458923512748
2024-06-05,691,699,676,684,504606,-1.0130246020260492
2024-06-07,684,691,678,684,384600,0.0
2024-06-10,677,687,660,662,559996,-3.216374269005848
2024-06-11,663,678,650,656,422650,-0.906344410876133
2024-06-12,654,665,639,643,502496,-1.9817073170731707
2024-06-13,644,765,638,660,3077798,2.6438569206842923
2024-06-14,666,669,642,643,426915,-2.5757575757575757
2024-06-17,649,718,647,698,2625857,8.553654743390357
2024-06-18,688,727,670,694,1465893,-0.5730659025787965
2024-06-19,689,689,662,663,741363,-4.46685878962536
2024-06-20,672,675,651,652,416885,-1.6591251885369533
2024-06-21,654,658,643,657,342293,0.7668711656441718
2024-06-24,657,675,641,655,364356,-0.30441400304414
2024-06-25,655,686,649,686,541493,4.732824427480916
2024-06-26,698,745,670,678,1333355,-1.1661807580174928
2024-06-27,681,681,662,667,366749,-1.6224188790560472
2024-06-28,667,668,653,654,246660,-1.9490254872563717
2024-07-01,651,659,642,647,277116,-1.0703363914373087
2024-07-02,648,655,641,647,163296,0.0
2024-07-03,647,652,637,643,248357,-0.6182380216383307
2024-07-04,641,716,641,671,1679108,4.354587869362364
2024-07-05,671,674,657,660,281881,-1.639344262295082
2024-07-08,661,671,647,667,412758,1.0606060606060608
2024-07-09,692,703,668,676,538148,1.3493253373313343
2024-07-10,676,694,675,686,234736,1.4792899408284024
2024-07-11,689,705,674,686,535785,0.0
2024-07-12,686,700,651,673,635000,-1.8950437317784257
2024-07-15,672,685,666,682,176083,1.337295690936107
2024-07-16,689,690,670,676,155143,-0.8797653958944283
2024-07-17,676,683,635,655,714100,-3.106508875739645
2024-07-18,651,655,640,643,212491,-1.8320610687022902
2024-07-19,645,660,641,642,194765,-0.15552099533437014
2024-07-22,642,645,620,632,193349,-1.557632398753894
2024-07-23,629,638,618,621,200842,-1.740506329113924
2024-07-24,622,630,600,614,185838,-1.1272141706924315
2024-07-25,614,639,599,600,286141,-2.2801302931596092
2024-07-26,601,611,577,589,556258,-1.8333333333333333
2024-07-29,593,600,578,597,261570,1.3582342954159592
2024-07-30,599,603,586,592,212873,-0.8375209380234505
2024-07-31,586,597,583,590,106831,-0.33783783783783783
2024-08-01,590,658,590,615,1234379,4.23728813559322
2024-08-02,595,612,581,585,339800,-4.878048780487805
2024-08-05,585,585,503,530,717419,-9.401709401709402
2024-08-06,530,555,530,551,276475,3.9622641509433962
2024-08-07,551,560,531,552,162901,0.18148820326678766
2024-08-08,552,552,541,550,117856,-0.36231884057971014
2024-08-09,546,580,546,567,372024,3.090909090909091
2024-08-12,572,585,568,575,213028,1.4109347442680775
2024-08-13,584,585,560,560,188055,-2.608695652173913
2024-08-14,565,572,546,561,251029,0.17857142857142858
2024-08-16,563,568,551,566,171043,0.8912655971479502
2024-08-19,570,570,554,567,182792,0.17667844522968199
2024-08-20,571,609,569,587,496382,3.527336860670194
2024-08-21,587,610,586,595,184988,1.362862010221465
2024-08-22,595,629,587,616,585459,3.5294117647058822
2024-08-23,613,630,595,614,312632,-0.3246753246753247
2024-08-26,614,620,600,605,139281,-1.4657980456026058
2024-08-27,605,620,599,612,111576,1.1570247933884297
2024-08-28,613,613,599,609,192782,-0.49019607843137253
2024-08-29,613,613,598,606,132548,-0.49261083743842365
2024-08-30,614,617,585,595,232291,-1.8151815181518154
2024-09-02,595,609,580,586,221446,-1.5126050420168067
2024-09-03,586,599,582,586,78749,0.0
2024-09-04,584,584,558,571,238364,-2.5597269624573378
2024-09-05,570,578,550,562,151397,-1.5761821366024518
2024-09-06,562,564,535,557,130437,-0.8896797153024912
2024-09-09,555,575,542,568,142388,1.9748653500897666
2024-09-10,573,578,561,561,60083,-1.232394366197183
2024-09-11,559,572,559,572,90550,1.9607843137254901
2024-09-12,572,612,572,598,504135,4.545454545454546
2024-09-13,600,619,594,605,160719,1.1705685618729096
2024-09-19,602,605,576,595,174558,-1.6528925619834711
2024-09-20,599,599,560,588,230803,-1.1764705882352942
2024-09-23,587,587,560,562,253328,-4.421768707482993
2024-09-24,558,572,554,571,154110,1.601423487544484
2024-09-25,570,573,565,568,113872,-0.5253940455341506
2024-09-26,570,578,560,568,72566,0.0
2024-09-27,569,579,560,571,161321,0.528169014084507
2024-09-30,575,575,560,560,87112,-1.926444833625219
2024-10-02,550,566,547,557,102759,-0.5357142857142857
2024-10-04,558,563,553,556,38380,-0.17953321364452424
2024-10-07,556,556,540,550,144707,-1.079136690647482
2024-10-08,550,553,542,546,94184,-0.7272727272727273
2024-10-10,546,548,531,532,225463,-2.564102564102564
2024-10-11,532,536,525,528,129951,-0.7518796992481203
2024-10-14,532,537,513,517,150685,-2.083333333333333
2024-10-15,511,513,503,509,317255,-1.5473887814313347
2024-10-16,510,517,507,512,118876,0.5893909626719057
2024-10-17,517,540,513,536,255942,4.6875
2024-10-18,544,546,537,543,192309,1.3059701492537312
2024-10-21,545,553,528,542,206769,-0.1841620626151013
2024-10-22,540,550,526,536,93500,-1.107011070110701
2024-10-23,539,544,503,536,174564,0.0
2024-10-24,536,537,511,519,82690,-3.171641791044776
2024-10-25,519,540,509,511,154138,-1.5414258188824663
2024-10-28,515,528,505,512,89665,0.19569471624266144
2024-10-29,513,520,510,517,87360,0.9765625
2024-10-30,517,525,512,521,79999,0.7736943907156674
2024-10-31,526,528,516,524,60751,0.5758157389635317
2024-11-01,510,530,510,523,81145,-0.19083969465648853
2024-11-04,525,529,511,523,79180,0.0
2024-11-05,526,536,523,531,129088,1.5296367112810707
2024-11-06,531,570,531,542,342438,2.0715630885122414
2024-11-07,560,565,535,535,123709,-1.2915129151291513
2024-11-08,567,567,535,539,153118,0.7476635514018692
2024-11-11,539,552,513,513,222886,-4.823747680890538
2024-11-12,513,521,500,510,212623,-0.5847953216374269
2024-11-13,506,512,481,481,223280,-5.686274509803922
2024-11-14,486,491,460,474,192406,-1.4553014553014554
2024-11-15,475,480,441,473,392479,-0.21097046413502107
2024-11-18,470,486,468,486,105971,2.748414376321353
2024-11-19,486,493,475,485,65728,-0.205761316872428
2024-11-20,480,487,471,471,73476,-2.88659793814433
2024-11-21,490,490,467,469,188676,-0.42462845010615713
2024-11-22,470,481,463,465,116208,-0.8528784648187633
2024-11-25,465,473,460,467,116433,0.43010752688172044
2024-11-26,467,475,449,454,245055,-2.7837259100642395
2024-11-27,458,467,446,450,279517,-0.881057268722467
2024-11-28,452,467,447,461,141114,2.4444444444444446
2024-11-29,464,464,441,445,150611,-3.470715835140998
2024-12-02,447,449,434,437,172423,-1.7977528089887642
2024-12-03,437,449,425,432,147820,-1.1441647597254003
2024-12-04,435,435,420,421,239103,-2.5462962962962963
2024-12-05,421,423,409,409,192864,-2.8503562945368173
2024-12-06,393,439,393,434,378914,6.112469437652812
2024-12-09,440,440,405,422,227899,-2.7649769585253456
2024-12-10,421,440,418,440,336269,4.265402843601896
2024-12-11,441,533,435,483,1932315,9.772727272727273
2024-12-12,491,530,475,498,578378,3.1055900621118013
2024-12-13,489,496,468,493,323806,-1.0040160642570282
2024-12-16,493,520,486,513,468432,4.056795131845842
2024-12-17,525,525,473,511,637146,-0.3898635477582846
2024-12-18,501,502,465,499,428703,-2.3483365949119372
2024-12-19,493,512,487,509,264858,2.004008016032064
2024-12-20,509,514,474,483,397975,-5.1080550098231825
2024-12-23,480,505,480,490,206509,1.4492753623188406
2024-12-24,496,506,459,469,386800,-4.285714285714286
2024-12-26,469,481,450,452,208468,-3.624733475479744
2024-12-27,460,460,444,444,102586,-1.7699115044247788
2024-12-30,440,458,440,454,94865,2.2522522522522523
2025-01-02,454,461,454,459,54262,1.1013215859030838
2025-01-03,459,484,448,480,189647,4.57516339869281
2025-01-06,480,488,472,488,88499,1.6666666666666667
2025-01-07,490,501,488,488,170831,0.0
2025-01-08,499,499,481,482,93545,-1.2295081967213115
2025-01-09,483,496,472,477,89049,-1.0373443983402488
2025-01-10,476,499,456,474,342277,-0.628930817610063
2025-01-13,489,490,460,476,127941,0.42194092827004215
2025-01-14,466,472,452,461,187511,-3.1512605042016806
2025-01-15,466,476,452,453,141354,-1.735357917570499
2025-01-16,456,463,449,449,81887,-0.8830022075055187
2025-01-17,456,456,446,454,118945,1.1135857461024499
2025-01-20,454,460,448,452,90689,-0.4405286343612335
2025-01-21,449,461,447,449,133796,-0.6637168141592921
2025-01-22,452,454,432,432,231625,-3.78619153674833
2025-01-23,435,443,429,429,219817,-0.6944444444444444
2025-01-24,431,440,429,436,75094,1.6317016317016315
2025-01-31,437,441,417,423,179901,-2.981651376146789
2025-02-03,423,423,391,404,280071,-4.491725768321513
2025-02-04,405,415,404,411,142086,1.7326732673267329
2025-02-05,411,421,409,410,107505,-0.24330900243309003
2025-02-06,416,416,396,406,278507,-0.975609756097561
2025-02-07,406,407,400,403,119474,-0.7389162561576355
2025-02-10,403,407,397,401,94548,-0.49627791563275436
2025-02-11,402,409,396,397,236487,-0.997506234413965
2025-02-12,397,404,381,390,209720,-1.7632241813602016
2025-02-13,391,402,390,395,171906,1.282051282051282
2025-02-14,400,400,388,395,156337,0.0
2025-02-17,391,400,391,394,126342,-0.25316455696202533
2025-02-18,394,396,388,389,148909,-1.2690355329949239
2025-02-19,394,394,389,392,117710,0.7712082262210797
2025-02-20,394,400,391,394,109429,0.5102040816326531
2025-02-21,395,459,395,422,3963426,7.1065989847715745
2025-02-24,430,432,412,413,250437,-2.132701421800948
2025-02-25,413,486,413,432,3281250,4.600484261501211
2025-02-26,438,438,419,430,309504,-0.4629629629629629
2025-02-27,433,437,420,421,184812,-2.0930232558139537
2025-02-28,421,421,408,408,178289,-3.0878859857482186
2025-03-04,422,422,393,400,135979,-1.9607843137254901
2025-03-05,400,410,400,410,130008,2.5
2025-03-06,417,422,405,420,199173,2.4390243902439024
2025-03-07,433,433,409,410,123901,-2.380952380952381
2025-03-10,411,417,405,410,98908,0.0
2025-03-11,410,410,392,396,320518,-3.414634146341464
2025-03-12,400,401,374,395,108290,-0.25252525252525254
2025-03-13,407,407,392,395,89094,0.0
2025-03-14,397,399,391,396,62377,0.25316455696202533
2025-03-17,396,400,385,388,146445,-2.0202020202020203
2025-03-18,390,396,387,394,90418,1.5463917525773196
2025-03-19,386,391,383,385,155731,-2.284263959390863
2025-03-20,387,438,380,406,782722,5.454545454545454
2025-03-21,403,404,390,390,215562,-3.9408866995073892
2025-03-24,390,397,382,391,83623,0.2564102564102564
2025-03-25,386,400,386,388,69306,-0.7672634271099744
2025-03-26,388,392,385,388,78475,0.0
2025-03-27,402,403,386,389,124174,0.25773195876288657
2025-03-28,389,390,380,388,127403,-0.2570694087403599
2025-03-31,386,386,372,375,181485,-3.350515463917526
2025-04-01,375,381,371,377,55813,0.5333333333333333
2025-04-02,377,379,367,376,227576,-0.2652519893899204
2025-04-03,375,375,350,362,157849,-3.723404255319149
2025-04-04,362,365,355,360,128802,-0.5524861878453038
2025-04-07,357,364,351,361,319005,0.2777777777777778
2025-04-08,361,388,355,386,367395,6.9252077562326875
2025-04-09,386,425,386,403,663582,4.404145077720207
2025-04-10,396,417,390,412,285868,2.2332506203473943
2025-04-11,412,431,396,424,201118,2.912621359223301
2025-04-14,412,424,406,409,332684,-3.5377358490566038
2025-04-15,419,419,393,398,395770,-2.689486552567237
2025-04-16,395,410,390,403,337728,1.256281407035176
2025-04-17,399,423,398,417,251460,3.4739454094292808
2025-04-18,448,530,420,460,9657659,10.311750599520384
2025-04-21,471,490,443,473,2339121,2.8260869565217392
2025-04-22,473,477,450,453,626170,-4.2283298097251585
2025-04-23,468,468,454,460,297993,1.545253863134658
2025-04-24,460,465,440,448,377740,-2.608695652173913
2025-04-25,458,458,443,446,200911,-0.4464285714285714
2025-04-28,435,451,424,430,418058,-3.587443946188341
2025-04-29,433,477,433,442,581931,2.7906976744186047
2025-04-30,442,456,427,450,309047,1.809954751131222
2025-05-02,445,470,439,462,440850,2.666666666666667
2025-05-07,459,464,435,447,277138,-3.2467532467532463
2025-05-08,447,463,447,458,187338,2.460850111856823
2025-05-09,458,459,441,447,154385,-2.4017467248908297
2025-05-12,444,452,443,447,202360,0.0
2025-05-13,448,451,440,441,161843,-1.342281879194631
2025-05-14,441,450,432,436,120006,-1.1337868480725624
2025-05-15,445,445,419,421,246629,-3.4403669724770642
2025-05-16,428,430,405,406,386995,-3.5629453681710213
2025-05-19,406,413,400,409,109494,0.7389162561576355
2025-05-20,408,413,400,403,154482,-1.466992665036675
2025-05-21,399,411,399,401,178738,-0.49627791563275436
2025-05-22,401,401,395,399,148993,-0.4987531172069825
2025-05-23,427,427,399,402,139945,0.7518796992481203
2025-05-26,402,407,398,403,57225,0.24875621890547264
2025-05-27,403,403,397,400,115654,-0.7444168734491315
2025-05-28,400,479,400,434,5271435,8.5
2025-05-29,428,441,419,428,291134,-1.3824884792626728
2025-05-30,424,449,424,437,172058,2.102803738317757
2025-06-02,436,445,423,429,225948,-1.8306636155606408
2025-06-04,429,450,429,439,130054,2.331002331002331
2025-06-05,439,447,435,445,65869,1.366742596810934
2025-06-09,449,449,441,443,119071,-0.44943820224719105
2025-06-10,443,447,426,431,327194,-2.708803611738149
2025-06-11,434,434,418,428,274003,-0.6960556844547563
2025-06-12,428,444,420,440,514599,2.803738317757009
