날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,8500,8740,8390,8500,214979,2.0408163265306123
2024-06-04,8430,8550,8280,8300,48627,-2.3529411764705883
2024-06-05,8450,8470,8210,8290,36280,-0.12048192771084339
2024-06-07,8230,8450,8230,8390,46262,1.2062726176115801
2024-06-10,8410,8410,8250,8300,39234,-1.0727056019070322
2024-06-11,8260,8370,8090,8130,95012,-2.0481927710843375
2024-06-12,8150,8230,8100,8190,29350,0.7380073800738007
2024-06-13,8190,8270,8170,8190,17000,0.0
2024-06-14,8270,8280,8150,8150,58022,-0.4884004884004884
2024-06-17,8180,8290,8130,8210,30098,0.7361963190184049
2024-06-18,8300,8300,8130,8140,31872,-0.8526187576126675
2024-06-19,8160,8250,8140,8160,27143,0.2457002457002457
2024-06-20,8170,8400,8160,8300,32422,1.715686274509804
2024-06-21,8380,8380,8120,8330,43528,0.3614457831325301
2024-06-24,8330,8330,8190,8220,21950,-1.3205282112845138
2024-06-25,8440,8660,8350,8640,193076,5.109489051094891
2024-06-26,8720,8720,8440,8440,90514,-2.314814814814815
2024-06-27,8450,8530,8300,8350,58040,-1.066350710900474
2024-06-28,8360,8960,8360,8780,414830,5.149700598802395
2024-07-01,8800,8800,8580,8660,131219,-1.366742596810934
2024-07-02,8660,8680,8430,8580,102946,-0.9237875288683602
2024-07-03,8560,8590,8280,8350,98918,-2.6806526806526807
2024-07-04,8350,8350,8210,8250,61986,-1.1976047904191618
2024-07-05,8230,8380,8210,8240,39114,-0.12121212121212122
2024-07-08,8240,8240,8100,8230,42423,-0.12135922330097086
2024-07-09,8240,8240,8100,8160,79561,-0.850546780072904
2024-07-10,8200,8300,8120,8230,23072,0.857843137254902
2024-07-11,8230,8240,8090,8140,104281,-1.0935601458080195
2024-07-12,8140,8170,8080,8130,36532,-0.12285012285012285
2024-07-15,8090,8220,8090,8130,27008,0.0
2024-07-16,8110,8190,8080,8110,28973,-0.24600246002460024
2024-07-17,8100,8190,8100,8160,29779,0.6165228113440198
2024-07-18,8210,8210,8100,8150,28692,-0.12254901960784313
2024-07-19,8150,8250,8120,8160,23300,0.1226993865030675
2024-07-22,8350,8390,8150,8190,74994,0.3676470588235294
2024-07-23,8250,8260,8120,8190,39235,0.0
2024-07-24,8160,8290,8150,8160,50394,-0.3663003663003663
2024-07-25,8140,8220,8130,8130,29314,-0.3676470588235294
2024-07-26,8160,8970,8140,8250,402466,1.4760147601476015
2024-07-29,8300,8440,8280,8360,76143,1.3333333333333335
2024-07-30,8360,8450,8260,8350,61295,-0.11961722488038277
2024-07-31,8380,8550,8250,8490,174413,1.6766467065868262
2024-08-01,8510,8610,8400,8560,116186,0.8244994110718492
2024-08-02,8550,8550,8280,8320,114597,-2.803738317757009
2024-08-05,8320,8400,7740,7970,267328,-4.206730769230769
2024-08-06,7940,8280,7940,8240,96673,3.3877038895859477
2024-08-07,8270,8370,8180,8320,41535,0.9708737864077669
2024-08-08,8350,8920,8240,8840,410836,6.25
2024-08-09,8850,8870,8700,8760,82690,-0.904977375565611
2024-08-12,8780,8990,8720,8890,94847,1.4840182648401825
2024-08-13,8900,9180,8870,9000,211955,1.2373453318335208
2024-08-14,9000,9130,8850,9060,64273,0.6666666666666667
2024-08-16,9190,9620,9140,9610,318968,6.070640176600441
2024-08-19,9560,9620,9350,9500,112632,-1.1446409989594173
2024-08-20,9500,9710,9500,9550,83476,0.5263157894736842
2024-08-21,9500,9580,9390,9460,94183,-0.9424083769633508
2024-08-22,9420,9460,9250,9320,53703,-1.4799154334038054
2024-08-23,9240,9320,9200,9240,38839,-0.8583690987124464
2024-08-26,9220,9300,9150,9300,50875,0.6493506493506493
2024-08-27,9300,9330,9050,9330,77589,0.3225806451612903
2024-08-28,9330,9330,9090,9200,32608,-1.3933547695605575
2024-08-29,9240,9250,9110,9150,24288,-0.5434782608695652
2024-08-30,9240,9240,9010,9150,40375,0.0
2024-09-02,9110,9160,8910,9090,61955,-0.6557377049180327
2024-09-03,9080,9390,9050,9320,47795,2.5302530253025304
2024-09-04,9190,9240,9020,9240,51421,-0.8583690987124464
2024-09-05,9140,9200,9000,9070,55549,-1.83982683982684
2024-09-06,9100,9100,8940,8990,38936,-0.8820286659316428
2024-09-09,8930,9000,8810,8950,29370,-0.44493882091212456
2024-09-10,8900,9060,8830,8830,52154,-1.3407821229050279
2024-09-11,9000,9000,8800,8820,23605,-0.11325028312570783
2024-09-12,8920,8980,8810,8980,14479,1.8140589569160999
2024-09-13,9010,9100,8930,9090,25894,1.2249443207126949
2024-09-19,9180,9180,9020,9170,22341,0.88008800880088
2024-09-20,9200,9250,9090,9190,41077,0.21810250817884408
2024-09-23,9180,9400,9060,9170,53744,-0.2176278563656148
2024-09-24,9150,9300,9110,9230,18642,0.6543075245365322
2024-09-25,9280,9660,9200,9380,121322,1.6251354279523293
2024-09-26,9360,9570,9300,9470,31452,0.9594882729211088
2024-09-27,9500,9770,9400,9550,65854,0.8447729672650475
2024-09-30,9620,9730,9430,9480,47397,-0.7329842931937173
2024-10-02,9630,9630,9230,9260,55743,-2.320675105485232
2024-10-04,9300,9380,9140,9350,53831,0.9719222462203023
2024-10-07,9310,9320,9180,9220,19310,-1.3903743315508021
2024-10-08,9180,9400,9150,9200,40083,-0.21691973969631237
2024-10-10,9200,9370,9150,9280,38716,0.8695652173913043
2024-10-11,9350,9350,9190,9210,36116,-0.7543103448275862
2024-10-14,9280,9290,9150,9190,35477,-0.21715526601520088
2024-10-15,9260,9290,9150,9190,29958,0.0
2024-10-16,9270,9520,9200,9500,53066,3.373231773667029
2024-10-17,9420,9580,9250,9400,45065,-1.0526315789473684
2024-10-18,9400,9420,9130,9260,63653,-1.4893617021276597
2024-10-21,9250,9250,9070,9070,33993,-2.0518358531317493
2024-10-22,9120,9120,8640,8950,109968,-1.3230429988974641
2024-10-23,9150,9150,8800,9060,71942,1.2290502793296088
2024-10-24,9010,9150,8980,9140,26008,0.8830022075055187
2024-10-25,9080,9160,8870,8880,49990,-2.8446389496717726
2024-10-28,9000,9210,9000,9140,64921,2.9279279279279278
2024-10-29,9200,9360,9120,9270,51299,1.4223194748358863
2024-10-30,9350,9450,9270,9340,41199,0.7551240560949299
2024-10-31,9440,9690,9350,9630,102709,3.1049250535331905
2024-11-01,9610,9640,9400,9500,77054,-1.3499480789200415
2024-11-04,9500,9600,9310,9350,47320,-1.5789473684210527
2024-11-05,9350,9400,9210,9350,50569,0.0
2024-11-06,9380,9650,9220,9560,185005,2.2459893048128343
2024-11-07,9570,9600,9380,9420,88177,-1.4644351464435146
2024-11-08,9420,9590,9420,9560,37360,1.48619957537155
2024-11-11,9390,9480,9120,9260,58858,-3.1380753138075312
2024-11-12,9270,9320,9130,9160,64470,-1.079913606911447
2024-11-13,9150,9280,9050,9080,53446,-0.8733624454148471
2024-11-14,9010,9200,8960,9000,67706,-0.881057268722467
2024-11-15,9000,9080,8800,9050,48943,0.5555555555555556
2024-11-18,9050,9100,8900,8970,64418,-0.8839779005524863
2024-11-19,8930,9140,8910,8960,45194,-0.11148272017837235
2024-11-20,9140,9140,8840,8860,49061,-1.1160714285714286
2024-11-21,9040,9040,8600,8660,108044,-2.2573363431151243
2024-11-22,8670,8740,8500,8540,98421,-1.3856812933025404
2024-11-25,8640,8650,8440,8540,88144,0.0
2024-11-26,8600,8750,8520,8710,37436,1.9906323185011712
2024-11-27,8800,8800,8590,8790,56631,0.9184845005740528
2024-11-28,8820,8840,8570,8700,79022,-1.023890784982935
2024-11-29,8670,8770,8640,8720,35133,0.22988505747126436
2024-12-02,8780,8780,8610,8640,25131,-0.9174311926605505
2024-12-03,8600,8840,8600,8670,46276,0.3472222222222222
2024-12-04,8390,8800,8390,8670,101605,0.0
2024-12-05,8670,8740,8510,8570,32189,-1.1534025374855825
2024-12-06,8400,8560,8360,8490,61587,-0.9334889148191364
2024-12-09,8490,8490,8040,8210,189570,-3.297997644287397
2024-12-10,8280,8720,8240,8700,69216,5.9683313032886725
2024-12-11,8690,8790,8650,8720,37403,0.22988505747126436
2024-12-12,8700,8700,8520,8650,46079,-0.8027522935779817
2024-12-13,8550,8730,8500,8650,33526,0.0
2024-12-16,8650,8670,8550,8590,32606,-0.6936416184971098
2024-12-17,8580,8610,8470,8600,17756,0.11641443538998836
2024-12-18,8600,8680,8540,8670,19012,0.813953488372093
2024-12-19,8600,8670,8570,8650,22268,-0.2306805074971165
2024-12-20,8650,8850,8640,8690,44729,0.46242774566473993
2024-12-23,8780,8880,8670,8880,35306,2.186421173762946
2024-12-24,8890,8920,8790,8850,26882,-0.33783783783783783
2024-12-26,8850,9030,8810,8870,47225,0.22598870056497175
2024-12-27,8750,8760,8350,8550,70868,-3.6076662908680945
2024-12-30,8550,8790,8530,8760,43597,2.456140350877193
2025-01-02,8780,8780,8430,8580,46263,-2.054794520547945
2025-01-03,8580,8720,8530,8670,28618,1.048951048951049
2025-01-06,8610,8740,8610,8710,22886,0.461361014994233
2025-01-07,8630,8740,8570,8680,24175,-0.3444316877152698
2025-01-08,8630,8670,8570,8660,15056,-0.2304147465437788
2025-01-09,8700,8740,8580,8610,13663,-0.5773672055427251
2025-01-10,8620,8620,8500,8540,11222,-0.8130081300813009
2025-01-13,8650,8650,8290,8380,60140,-1.873536299765808
2025-01-14,8490,8580,8380,8420,26956,0.47732696897374705
2025-01-15,8550,8560,8360,8520,57875,1.187648456057007
2025-01-16,8570,8570,8420,8520,28661,0.0
2025-01-17,8510,8570,8450,8520,15769,0.0
2025-01-20,8520,8520,8300,8370,53567,-1.7605633802816902
2025-01-21,8470,8500,8330,8410,36185,0.4778972520908005
2025-01-22,8400,8550,8350,8360,30685,-0.5945303210463734
2025-01-23,8460,8570,8240,8510,106206,1.7942583732057416
2025-01-24,8610,8680,8490,8550,46089,0.4700352526439483
2025-01-31,8450,8570,8430,8500,36556,-0.5847953216374269
2025-02-03,8500,8500,8260,8350,34844,-1.7647058823529411
2025-02-04,8360,8490,8350,8450,24443,1.1976047904191618
2025-02-05,8450,8490,8360,8410,14278,-0.4733727810650888
2025-02-06,8490,8490,8400,8470,21064,0.713436385255648
2025-02-07,8470,8690,8450,8620,80164,1.770956316410862
2025-02-10,8550,8670,8510,8540,34060,-0.9280742459396751
2025-02-11,8580,8580,8460,8500,22738,-0.468384074941452
2025-02-12,8520,8520,8410,8430,18225,-0.823529411764706
2025-02-13,8430,8540,8400,8530,27652,1.1862396204033214
2025-02-14,8540,8540,8360,8450,23403,-0.9378663540445485
2025-02-17,8460,8510,8370,8460,34853,0.1183431952662722
2025-02-18,8450,8480,8410,8440,21124,-0.2364066193853428
2025-02-19,8440,8480,8420,8460,44545,0.23696682464454977
2025-02-20,8480,9000,8480,9000,207534,6.382978723404255
2025-02-21,9010,9020,8690,8820,74027,-2.0
2025-02-24,8900,9060,8820,8920,175416,1.1337868480725624
2025-02-25,9040,9040,8680,8730,63194,-2.130044843049327
2025-02-26,8880,9100,8790,9010,100129,3.2073310423825885
2025-02-27,9110,9200,8810,9000,84296,-0.11098779134295228
2025-02-28,8920,8970,8740,8900,53147,-1.1111111111111112
2025-03-04,8800,9090,8800,8910,55062,0.11235955056179776
2025-03-05,8910,9250,8880,9130,130984,2.4691358024691357
2025-03-06,9140,9380,9130,9300,91552,1.8619934282584885
2025-03-07,9250,9250,9050,9190,47565,-1.1827956989247312
2025-03-10,9190,9190,9000,9000,68353,-2.067464635473341
2025-03-11,8970,8980,8720,8830,77467,-1.8888888888888888
2025-03-12,8860,8890,8790,8860,33079,0.33975084937712347
2025-03-13,8900,8900,8690,8710,51462,-1.6930022573363432
2025-03-14,8780,8780,8650,8730,29646,0.2296211251435132
2025-03-17,8750,8780,8500,8630,67891,-1.145475372279496
2025-03-18,8650,8660,8550,8640,33805,0.11587485515643105
2025-03-19,8640,8690,8570,8690,21811,0.5787037037037037
2025-03-20,8700,8700,8500,8590,44661,-1.1507479861910241
2025-03-21,8580,8600,8490,8560,29240,-0.3492433061699651
2025-03-24,8500,8780,8500,8640,26382,0.9345794392523363
2025-03-25,8720,9100,8530,8720,128013,0.9259259259259258
2025-03-26,8730,8730,8620,8660,28216,-0.6880733944954129
2025-03-27,8660,8800,8600,8670,49637,0.11547344110854503
2025-03-28,8650,8800,8450,8630,55832,-0.461361014994233
2025-03-31,8630,8660,8490,8570,29521,-0.6952491309385863
2025-04-01,8600,8710,8570,8710,28610,1.633605600933489
2025-04-02,8740,8740,8590,8620,17957,-1.0332950631458095
2025-04-03,8560,8620,8500,8590,26350,-0.34802784222737815
2025-04-04,8600,8780,8580,8780,33139,2.211874272409779
2025-04-07,8680,8680,8190,8210,132213,-6.492027334851937
2025-04-08,8330,8410,8250,8300,22921,1.0962241169305724
2025-04-09,8250,8420,8250,8300,47889,0.0
2025-04-10,8460,8830,8420,8790,58879,5.903614457831325
2025-04-11,8800,8870,8600,8850,40879,0.6825938566552902
2025-04-14,8850,8990,8770,8940,51883,1.0169491525423728
2025-04-15,8940,9090,8880,9070,65108,1.45413870246085
2025-04-16,9090,9090,8890,9030,20565,-0.4410143329658214
2025-04-17,9030,9090,8940,8990,11244,-0.4429678848283499
2025-04-18,9100,9200,8970,9050,103503,0.6674082313681869
2025-04-21,9120,9170,8990,9020,25302,-0.3314917127071823
2025-04-22,9020,9100,8870,9070,32392,0.5543237250554324
2025-04-23,9120,9120,8900,8990,26126,-0.8820286659316428
2025-04-24,8990,9000,8890,8890,16806,-1.1123470522803114
2025-04-25,8900,9080,8830,9060,54872,1.9122609673790776
2025-04-28,9090,9090,8920,8940,24879,-1.3245033112582782
2025-04-29,9000,9040,8890,9010,21779,0.7829977628635347
2025-04-30,9000,9080,8920,8950,9503,-0.6659267480577136
2025-05-02,8950,9050,8900,9030,28360,0.8938547486033519
2025-05-07,8950,9060,8950,9060,24467,0.33222591362126247
2025-05-08,9100,9100,8920,9050,22791,-0.11037527593818984
2025-05-09,9110,9110,8960,9050,14479,0.0
2025-05-12,9050,9120,8990,9050,41994,0.0
2025-05-13,9120,9190,8990,9150,52543,1.1049723756906076
2025-05-14,9120,9330,8990,9070,112837,-0.8743169398907104
2025-05-15,9230,9510,9120,9400,224724,3.6383682469680267
2025-05-16,9450,9490,9310,9400,53655,0.0
2025-05-19,9400,9570,9350,9500,85549,1.0638297872340425
2025-05-20,9550,9640,9330,9550,85226,0.5263157894736842
2025-05-21,9550,9680,9470,9530,76612,-0.20942408376963353
2025-05-22,9600,9930,9440,9830,126829,3.147953830010493
2025-05-23,9870,9940,9720,9820,54484,-0.10172939979654119
2025-05-26,9960,9960,9740,9900,47586,0.8146639511201629
2025-05-27,9880,10000,9660,9780,91623,-1.2121212121212122
2025-05-28,9830,9830,9670,9700,31448,-0.81799591002045
2025-05-29,9700,10060,9660,9980,205749,2.88659793814433
2025-05-30,10000,10000,9730,9780,76219,-2.004008016032064
2025-06-02,9790,9950,9760,9850,56055,0.7157464212678937
2025-06-04,9860,10040,9860,9980,58745,1.3197969543147208
2025-06-05,9980,10100,9820,9900,98725,-0.8016032064128256
2025-06-09,9900,10110,9790,9990,109150,0.9090909090909091
2025-06-10,9990,10070,9820,10000,92925,0.10010010010010009
2025-06-11,10000,10090,9890,10060,71576,0.6
2025-06-12,10060,10130,9940,10080,78044,0.19880715705765406
2025-06-13,10080,10250,9890,10030,283768,-0.496031746031746
2025-06-16,10120,10260,9900,10060,106352,0.29910269192422734
2025-06-17,10060,10060,9800,9950,122211,-1.0934393638170974
2025-06-18,9950,10030,9800,9840,111877,-1.105527638190955
2025-06-19,9850,9940,9730,9840,40576,0.0
2025-06-20,9730,9910,9730,9830,42889,-0.10162601626016261
2025-06-23,10100,10200,9770,9840,228406,0.10172939979654119
2025-06-24,9800,9860,9330,9800,136490,-0.40650406504065045
