날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,84300,85300,84300,84800,379168,1.5568862275449102
2024-06-04,84300,85600,84300,85200,219545,0.4716981132075472
2024-06-05,85500,86100,85000,85500,178185,0.35211267605633806
2024-06-07,86300,86900,86000,86700,285464,1.4035087719298245
2024-06-10,85900,86700,85500,85900,159538,-0.922722029988466
2024-06-11,86000,86900,85900,86500,185079,0.6984866123399301
2024-06-12,86100,86800,86000,86500,126821,0.0
2024-06-13,86500,87300,85900,85900,349698,-0.6936416184971098
2024-06-14,85300,86800,85300,86800,490156,1.0477299185098952
2024-06-17,86500,86800,86000,86800,104525,0.0
2024-06-18,86700,87000,86100,86500,213667,-0.3456221198156682
2024-06-19,87200,87300,86000,86400,153855,-0.11560693641618498
2024-06-20,86000,86900,86000,86700,165516,0.3472222222222222
2024-06-21,86800,87000,86100,86300,206548,-0.461361014994233
2024-06-24,86500,86500,85700,85900,171990,-0.4634994206257242
2024-06-25,86600,86600,85700,85800,222460,-0.11641443538998836
2024-06-26,85500,86500,85000,86500,272263,0.8158508158508158
2024-06-27,85600,86000,84800,85900,414448,-0.6936416184971098
2024-06-28,85900,88200,85800,88200,366547,2.6775320139697323
2024-07-01,87300,87400,86300,87300,217362,-1.0204081632653061
2024-07-02,86600,88000,86500,88000,214172,0.8018327605956471
2024-07-03,88400,88400,87300,88000,212138,0.0
2024-07-04,88000,88200,87100,88000,189932,0.0
2024-07-05,88000,88200,87300,88000,225187,0.0
2024-07-08,87200,87500,86000,86000,232173,-2.272727272727273
2024-07-09,86400,86800,85800,86100,151944,0.11627906976744186
2024-07-10,85900,86500,85800,86100,139837,0.0
2024-07-11,86500,86900,85700,86900,254240,0.9291521486643438
2024-07-12,87100,87700,86600,87500,270507,0.6904487917146145
2024-07-15,87800,87800,86900,87000,167883,-0.5714285714285714
2024-07-16,87300,87400,86800,87200,163617,0.22988505747126436
2024-07-17,87500,88000,87000,87900,190683,0.8027522935779817
2024-07-18,88100,90500,87800,90000,520569,2.3890784982935154
2024-07-19,89200,90400,89000,90400,245583,0.4444444444444444
2024-07-22,90400,93200,90100,92900,674656,2.765486725663717
2024-07-23,92100,93500,91700,93400,364168,0.5382131324004306
2024-07-24,92600,93500,92500,93400,177357,0.0
2024-07-25,93400,93600,92200,93200,229656,-0.21413276231263384
2024-07-26,93000,93900,92300,93800,307783,0.6437768240343348
2024-07-29,93500,93900,91800,92500,165741,-1.3859275053304905
2024-07-30,91100,93200,90700,92700,244180,0.21621621621621623
2024-07-31,92900,93300,91600,93300,315317,0.6472491909385114
2024-08-01,92200,92700,91500,92600,202121,-0.7502679528403001
2024-08-02,92600,92900,91100,92000,223028,-0.6479481641468683
2024-08-05,90800,91200,87100,87300,484912,-5.108695652173913
2024-08-06,90900,91000,87600,89100,398711,2.0618556701030926
2024-08-07,87900,93400,87700,93400,406099,4.8260381593714925
2024-08-08,93300,95000,92600,94800,492641,1.4989293361884368
2024-08-09,95000,101500,94300,100600,1372172,6.118143459915612
2024-08-12,100600,100600,99000,100200,381600,-0.3976143141153081
2024-08-13,99900,104300,99800,103000,609565,2.7944111776447107
2024-08-14,102400,103800,100900,101900,365851,-1.0679611650485437
2024-08-16,102800,102800,99000,99100,546074,-2.747791952894995
2024-08-19,98500,101500,98300,101100,429122,2.0181634712411705
2024-08-20,101100,101600,100000,100100,245611,-0.9891196834817012
2024-08-21,100900,103000,100500,102200,348800,2.097902097902098
2024-08-22,102200,104300,101600,104300,370413,2.054794520547945
2024-08-23,104300,108300,104100,107300,524108,2.876318312559923
2024-08-26,106300,109500,106100,109400,344226,1.95712954333644
2024-08-27,110000,111300,108100,111000,455442,1.4625228519195612
2024-08-28,110500,113500,109400,109800,462445,-1.0810810810810811
2024-08-29,109800,111200,107300,108100,387630,-1.5482695810564664
2024-08-30,108000,109600,107100,108200,368997,0.09250693802035154
2024-09-02,107500,108800,106200,107400,308855,-0.7393715341959335
2024-09-03,107500,110900,107300,108500,277092,1.0242085661080074
2024-09-04,108000,110200,107400,108700,378910,0.18433179723502305
2024-09-05,108700,110400,107800,108900,299962,0.18399264029438822
2024-09-06,110000,113500,109200,111400,720222,2.295684113865932
2024-09-09,109500,110700,107400,109700,351418,-1.526032315978456
2024-09-10,109200,112900,108900,111000,475284,1.1850501367365542
2024-09-11,112000,113300,109700,110200,401359,-0.7207207207207207
2024-09-12,110700,111500,108100,110000,554347,-0.18148820326678766
2024-09-13,109800,112200,109400,111500,290833,1.3636363636363635
2024-09-19,111500,111500,105400,106700,552656,-4.304932735426009
2024-09-20,106900,107500,105400,107100,434967,0.37488284910965325
2024-09-23,107800,107800,105600,107500,339102,0.3734827264239029
2024-09-24,107500,108400,106300,107700,304550,0.18604651162790697
2024-09-25,111200,111300,107300,108300,426727,0.5571030640668524
2024-09-26,108500,108900,106700,107200,400214,-1.0156971375807942
2024-09-27,108200,110300,106300,108900,330932,1.585820895522388
2024-09-30,110400,111300,108200,108900,357896,0.0
2024-10-02,107800,107800,104000,104500,381912,-4.040404040404041
2024-10-04,104600,105000,102100,103900,319382,-0.5741626794258373
2024-10-07,102900,104500,102000,103700,294902,-0.192492781520693
2024-10-08,103000,104000,102600,103500,133554,-0.19286403085824494
2024-10-10,105500,116900,104100,116900,393924,12.946859903381641
2024-10-11,110300,110400,102100,102200,360879,-12.574850299401197
2024-10-14,103000,107500,102800,107300,266095,4.990215264187866
2024-10-15,106500,106800,104700,105300,260552,-1.863932898415657
2024-10-16,104600,108500,104600,107500,251790,2.089268755935423
2024-10-17,108000,109400,107100,107500,146401,0.0
2024-10-18,108500,109600,106800,106800,143666,-0.6511627906976745
2024-10-21,107500,109200,106600,106600,81992,-0.18726591760299627
2024-10-22,104900,108900,104800,107900,215929,1.2195121951219512
2024-10-23,109700,111600,107500,107500,189445,-0.3707136237256719
2024-10-24,108200,109900,107600,109300,265077,1.6744186046511629
2024-10-25,108800,111800,108700,111600,173220,2.104300091491308
2024-10-28,111600,112400,110000,110700,132127,-0.8064516129032258
