날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,36850,37550,36750,37250,648472,1.7759562841530054
2024-06-04,36650,36900,36300,36450,582284,-2.1476510067114094
2024-06-05,36650,37000,36550,36750,762426,0.823045267489712
2024-06-07,36650,37250,36600,37150,832008,1.0884353741496597
2024-06-10,36700,37250,36650,36800,287902,-0.9421265141318977
2024-06-11,36800,37250,36750,36800,430147,0.0
2024-06-12,36700,37000,36550,36800,514967,0.0
2024-06-13,37000,37400,36250,36350,932513,-1.2228260869565217
2024-06-14,36250,36700,36100,36400,625746,0.1375515818431912
2024-06-17,36250,36650,36100,36200,256454,-0.5494505494505495
2024-06-18,36200,36450,36000,36300,379229,0.2762430939226519
2024-06-19,36500,36850,36200,36400,398997,0.27548209366391185
2024-06-20,36350,36750,36350,36500,254847,0.27472527472527475
2024-06-21,36700,37000,36500,37000,530781,1.36986301369863
2024-06-24,36800,37150,36500,36850,377568,-0.40540540540540543
2024-06-25,37200,37500,37000,37250,449477,1.0854816824966078
2024-06-26,37150,37250,36750,37200,447280,-0.1342281879194631
2024-06-27,36800,36800,36150,36450,605689,-2.0161290322580645
2024-06-28,36500,37400,36500,37400,485907,2.606310013717421
2024-07-01,37350,37400,36750,36900,260635,-1.3368983957219251
2024-07-02,36500,36750,36150,36250,412142,-1.7615176151761516
2024-07-03,36400,36750,36300,36500,314016,0.6896551724137931
2024-07-04,36500,36750,36150,36550,463494,0.136986301369863
2024-07-05,36550,36750,36250,36350,415919,-0.5471956224350205
2024-07-08,36250,36450,36000,36000,379847,-0.9628610729023385
2024-07-09,36300,36400,35900,36150,366289,0.4166666666666667
2024-07-10,35900,36200,35850,36000,312122,-0.4149377593360996
2024-07-11,36350,36700,36200,36700,473091,1.9444444444444444
2024-07-12,36700,36750,36200,36500,399553,-0.544959128065395
2024-07-15,36650,36700,36250,36300,204371,-0.547945205479452
2024-07-16,36350,36650,36200,36500,238648,0.5509641873278237
2024-07-17,36600,36800,36400,36500,329732,0.0
2024-07-18,36800,37900,36650,37900,1164342,3.8356164383561646
2024-07-19,37500,37550,36750,37100,377854,-2.1108179419525066
2024-07-22,37050,37800,36950,37500,452969,1.078167115902965
2024-07-23,37650,38100,37650,37900,349862,1.0666666666666667
2024-07-24,37600,37900,37400,37700,302728,-0.5277044854881267
2024-07-25,37900,38750,37700,37950,761575,0.6631299734748011
2024-07-26,38050,38800,38000,38650,485920,1.844532279314888
2024-07-29,38700,39300,38500,39100,450863,1.1642949547218628
2024-07-30,38750,39450,38350,38950,475185,-0.3836317135549872
2024-07-31,39100,39900,38900,39850,772348,2.3106546854942236
2024-08-01,39500,40000,38650,38750,727234,-2.7603513174404015
2024-08-02,38400,39200,38150,38850,663751,0.25806451612903225
2024-08-05,38950,39400,36600,37050,996537,-4.633204633204633
2024-08-06,38350,38400,36400,36550,1089085,-1.349527665317139
2024-08-07,36200,38200,36150,37800,640328,3.4199726402188784
2024-08-08,37500,39400,37450,39250,994104,3.835978835978836
2024-08-09,38750,38850,37800,38100,618451,-2.9299363057324843
2024-08-12,38400,38450,37400,38000,380832,-0.26246719160104987
2024-08-13,37750,39000,37750,38700,547174,1.8421052631578945
2024-08-14,38550,38700,37900,38300,418197,-1.03359173126615
2024-08-16,38650,38800,37900,37900,475540,-1.0443864229765014
2024-08-19,38000,38350,37900,38250,245609,0.9234828496042217
2024-08-20,38300,39050,38200,38700,348906,1.1764705882352942
2024-08-21,39000,39450,38700,39150,456982,1.1627906976744187
2024-08-22,39200,39400,38900,39300,253439,0.38314176245210724
2024-08-23,39600,39950,39300,39600,539439,0.7633587786259541
2024-08-26,39500,39950,39400,39900,303972,0.7575757575757576
2024-08-27,40100,40150,39850,40100,447809,0.5012531328320802
2024-08-28,40000,40050,38900,39300,515181,-1.99501246882793
2024-08-29,39300,39300,38900,39000,336995,-0.7633587786259541
2024-08-30,39050,39150,38550,38600,632942,-1.0256410256410255
2024-09-02,38950,39400,38800,39100,391626,1.2953367875647668
2024-09-03,39400,40500,39300,40200,980318,2.813299232736573
2024-09-04,40150,40450,39600,39800,940902,-0.9950248756218906
2024-09-05,40000,41800,39850,41200,1315504,3.5175879396984926
2024-09-06,41200,41800,40950,41200,991964,0.0
2024-09-09,40900,41700,40900,41400,1048158,0.48543689320388345
2024-09-10,41400,41450,40850,41100,546614,-0.7246376811594203
2024-09-11,41400,41900,40950,41250,674844,0.36496350364963503
2024-09-12,41300,41500,40600,41450,828387,0.48484848484848486
2024-09-13,41450,42050,41150,42050,598481,1.4475271411338964
2024-09-19,42250,42400,40750,41700,687715,-0.8323424494649228
2024-09-20,41550,42000,40400,41800,1057023,0.2398081534772182
2024-09-23,41800,41850,41000,41350,628765,-1.076555023923445
2024-09-24,41400,41500,40950,41400,348237,0.12091898428053204
2024-09-25,41850,41900,40500,40500,688527,-2.1739130434782608
2024-09-26,40550,41500,40150,41500,905663,2.4691358024691357
2024-09-27,41500,41500,40100,40300,944997,-2.891566265060241
2024-09-30,41100,41650,40100,40200,873763,-0.24813895781637718
2024-10-02,39750,39950,39350,39750,689431,-1.1194029850746268
2024-10-04,40100,40900,39700,40800,533935,2.6415094339622645
2024-10-07,40650,41050,40150,41050,439256,0.6127450980392157
2024-10-08,40800,40950,40000,40150,471341,-2.192448233861145
2024-10-10,41000,41100,40300,40300,497129,0.37359900373599003
2024-10-11,40800,41150,39900,40200,454691,-0.24813895781637718
2024-10-14,40350,40900,40250,40900,521649,1.7412935323383085
2024-10-15,41000,41150,40700,41000,427492,0.24449877750611246
